"id","task","drv_percentage","pupil_raw","pupil_z","pupil_change","fix_count","fix_dur","switch_count","grid_transition","entropy_log2","spatial_density","drv_scanpath_len","drv_saccade_len","drv_convex_hull","drv_fix_count","drv_fix_dur","drv_grid_transition","drv_entropy_log2","drv_spatial_density","drv_NNI"
"22","M",0.964776920496478,4.33513284132841,9.21949431216317,0.409753467731036,42,26.397867,2,19.1666666666667,6.70912872280455,0.013647762345679,357.553682100265,178.776841050132,8358,3,0.250460999999999,80,6.10085149903216,0.00846354166666667,89.6008700630634
"22","P",1,4.25018169672679,8.59791799452572,0.382127977331261,80,27.059058,0,17,7.13612361602656,0.0121527777777778,0,0,0,0,0,0,0,0,0
"22","W",0.992639678822349,4.60030076948812,11.1596930595019,0.4959841369946,55,26.798983,0,17.5,6.92439854906453,0.0132137345679012,0,0,0,0,0,90.9090909090909,4.36852252772821,0.00227864583333333,30.006028004434
"23","D",0.0488227146814404,4.11223684210526,1.03983452467799,0.0703402333224252,37,25.74653,3,19.1333333333333,5.68846509258889,0.0112847222222222,2641.86535217273,77.7019221227275,38831,35,24.343992,43.9388423734984,6.83880737532968,0.0454644097222222,863.697020118008
"23","J",1,6.46408049432198,10.0890849344139,0.682482232945867,82,24.113644,0,30.5333333333333,8.14977380603664,0.0246913580246914,0,0,0,0,0,0,0,0,0
"23","M",0.998645445309854,6.37803284795124,9.75799715209325,0.660085600302949,33,26.548197,0,21.1666666666667,5.5528472369259,0.00525655864197531,0,0,0,0,0,75,2,0.000434027777777778,14.0974198535157
"23","P",1,6.03217595993322,8.42723454691026,0.570065361578602,85,25.676103,0,24,7.65034733403708,0.0166377314814815,0,0,0,0,0,0,0,0,0
"23","W",0.862285914016078,5.63877560293604,6.91353769108756,0.467670425181426,38,23.993352,8,22.5,6.83486191173573,0.0158661265432099,726.775040240443,72.6775040240443,13865,11,0.911545000000003,84.263959390863,7.43517231588623,0.0241970486111111,250.176982381893
"24","D",0.189685012114919,4.25268881966078,1.83202722548484,0.119102678342975,62,21.268423,17,36,7.19497529425557,0.0225694444444444,3567.52220969846,84.9410049928206,60548.5,43,14.055393,57.5395130286202,7.74335164523255,0.0571831597222222,777.232630558102
"24","J",1,5.21212243525059,5.71560186099544,0.371579352379164,83,22.830955,0,38.3333333333333,8.26903523155239,0.0259934413580247,0,0,0,0,0,0,0,0,0
"24","M",0.863851351351351,5.09914121621622,5.25827892650432,0.341848142270565,92,18.994394,10,49.0333333333333,7.83129089223488,0.0207851080246914,405.738716386422,45.0820795984913,4956,10,2.945405,47.394540942928,6.27444693126602,0.0141059027777778,187.107866162771
"24","P",0.959197551853111,4.89162835770146,4.41831286655468,0.287240761951356,85,22.400141,6,38.1333333333333,7.86284885085295,0.0193383487654321,378.352597286394,126.117532428798,13859,4,0.400678,81.6666666666667,6.29535661239807,0.00965711805555556,105.73234133632
"24","W",0.862092862092862,4.58033264033264,3.15825679548046,0.205322736476843,78,17.77204,8,49.8666666666667,7.36945215794444,0.0170717592592593,1195.83428921102,132.870476579002,16639.5,10,1.382433,72.3618090452261,7.64963837819149,0.0266927083333333,237.893319031434
"25","D",0.0849744711889132,2.8981163384391,1.22089963779075,0.0726646764733286,54,22.810955,9,19.9,5.82340501287714,0.0148051697530864,5842.61000935599,129.835777985689,42220.5,46,20.54703,29.6133917895576,6.45034452936644,0.03515625,636.905832974864
"25","J",1,4.24698962516734,9.60923796451245,0.571916106970128,105,13.45431,0,60.0333333333333,9.22471057652642,0.0445119598765432,0,0,0,0,0,0,0,0,0
"25","M",1,3.59291560454702,5.5416993530908,0.329827103015173,101,15.387435,0,48.4666666666667,8.73286136020966,0.0373263888888889,0,0,0,0,0,0,0,0,0
"25","P",0.942655935613682,3.29690342052314,3.70086643508788,0.220265658087412,115,21.148533,2,39.1,8.81827982568662,0.0336612654320988,106.569226327303,106.569226327303,0,2,0.280583,57.8947368421053,5.9197765479302,0.00900607638888889,47.6503459947537
"25","W",0.977351916376307,3.59238083623693,5.53837374974795,0.329629172011259,86,21.648845,2,32.3,8.13543726743849,0.0245466820987654,0,0,0,1,0.140235000000001,81.5384615384615,5.34544473610538,0.00499131944444444,44.793577732775
