Recording	Participant	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording 87	P11-D1	B	1	scenevideo	16933	257025	11591	483	24	80	3.23424	10	122.71	47.15	217.21	59.6	4.32	0.66	7.2	43.17	2626	289.41	47.15	46.47	0.66
Recording 87	P11-D1	C	1	scenevideo	855	273958	0		0			1	79.54	79.54	79.54		4.64	4.64	4.64	4.64	650	262.4	79.54	54.62	4.64
Recording 248	P16-J1	A	1	scenevideo	30000	145719	12773	152	84	60	5.63436	32	95	31.57	390.91	88.85	2.86	0.55	16.84	91.53	515	41.01	73.24	54.88	1.52
Recording 248	P16-J1	B	1	scenevideo	15317	175719	9537	289	33	130	4.86854	19	108.76	33.67	427.11	98.86	2.79	0.74	7.51	53.02	28	122.53	199.18	81.31	7.51
Recording 248	P16-J1	C	1	scenevideo	2589	191036	401	80	5	60	4.57453	1	179.97	179.97	179.97		6.16	6.16	6.16	6.16	189	216.83	179.97	121.17	6.16
Recording 334	P43-D1	A	1	scenevideo	30000	208408	21819	808	27	250	4.0033	8	91.8	33.69	202.57	73.43	3.41	1.08	10.59	27.25	4375	7.94	33.69	33.69	1.22
Recording 334	P43-D1	B	1	scenevideo	10350	238408	7664	403	19	150	4.6315	15	139.89	30.28	402.99	104.96	4.81	0.66	28.91	72.15	3678	212.82	49.74	44.38	2.06
Recording 280	P42-J1	A	1	scenevideo	30000	149914	6171	110	56	60	5.78114	15	77.83	30.24	326.87	92.17	2.25	0.65	9.87	33.78	2739	316.24	64.59	57.55	1.12
Recording 280	P42-J1	B	1	scenevideo	13166	179914	2745	144	19	180	5.71841	2	142.95	34	251.9	154.08	1	0.81	1.19	2	3505	292.97	34	34	0.81
Recording 280	P42-J1	C	1	scenevideo	1741	193080	80	80	1	80	5.53918	0													
Recording 103	P14-M1	A	1	scenevideo	30000	228227	21889	509	43	1322	4.6395	19	151.46	30.66	723.12	161.3	5.38	1	45.07	102.27	3111	302.68	37.86	35.31	1.66
Recording 103	P14-M1	B	1	scenevideo	19017	258227	14616	418	35	100	4.74174	26	172.76	35.95	574.05	146.94	6.23	0.6	28	162.1	1993	99.83	35.95	35.77	0.67
Recording 103	P14-M1	C	1	scenevideo	3032	277244	1753	250	7	80	4.52935	7	160.61	44.32	243.18	65.35	4.75	1.35	9.39	33.25	457	45.95	227.18	149.5	2.18
Recording 251	P16-D1	A	1	scenevideo	30000	207102	25196	646	39	922	4.05535	30	128.29	31.33	258.3	73.76	4.11	0.96	8.33	123.35	1293	29.47	110.07	75.26	3.95
Recording 251	P16-D1	B	1	scenevideo	21067	237102	14797	336	44	220	4.21102	34	189.45	34.34	557.15	160.37	7.4	0.84	26.47	251.59	2289	95.3	76.36	69.09	0.84
Recording 251	P16-D1	C	1	scenevideo	29880	258169	21379	293	73	250	4.02512	54	164.35	30.96	592.43	118.89	5.64	0.5	31.61	304.64	286	3.57	189.19	119.71	6.01
Recording 330	P43-P0	A	1	scenevideo	30000	83569	23362	222	105	301	3.73303	78	118.06	33.18	400.86	76.43	3.02	0.7	12.91	235.83	123	284.87	89.84	56	1.28
Recording 71	P09-D1	A	1	scenevideo	30000	213118	22170	312	71	721	3.58366	54	144.7	33.06	496.44	103.43	5.09	0.88	21.74	274.74	1999	171.99	62.43	51.85	1.33
Recording 71	P09-D1	B	1	scenevideo	15217	243118	11000	500	22	521	4.07237	15	101.1	31.49	388.4	88.97	2.48	0.66	4.6	37.16	2795	303.28	31.49	31.49	1.52
Recording 71	P09-D1	C	1	scenevideo	12658	258335	8355	214	39	200	4.02038	26	158.98	31.8	305.27	72.07	5.81	0.61	15.03	151.07	461	12.9	109.11	74.26	2.87
Recording033	P34-M0	A	1	fullstream	30000	85060	25165	740	34	879	6.13515	24	51.61	30.34	174.6	35.51	2.09	0.48	6.75	50.08	541	59.73	34.34	34.34	2.55
Recording 177	P19-D2	A	1	scenevideo	30000	207133	19195	548	35	1302	2.98272	20	111.66	30.86	456.01	112.83	4.65	0.59	34.47	93.08	1928	315.85	59.54	46.74	0.87
Recording 177	P19-D2	B	1	scenevideo	16833	237133	10409	297	35	90	3.3686	26	147.78	30.27	366.81	84.1	5.21	0.67	17.85	135.58	2703	276.94	366.81	243.44	17.29
Recording 177	P19-D2	C	1	scenevideo	8301	253966	5550	222	25	220	2.97467	17	87.48	32.09	251.29	63.57	2.87	0.66	7.81	48.83	46	14.04	63.65	51.49	2.79
Recording 325	P32-D1	A	1	scenevideo	30000	212818	25686	755	34	441	3.16673	27	119.42	30.62	404.14	87.22	4.18	0.64	28.55	112.92	622	26.94	39.83	36.96	1.45
Recording 325	P32-D1	B	1	scenevideo	12524	242818	9778	515	19	180	3.67017	16	118.3	31.27	371.13	103.05	5.24	0.55	24.56	83.83	1237	275.81	341.87	224.3	23.9
Recording 166	P18-M1	A	1	scenevideo	30000	222770	21579	296	73	1523	4.20766	49	94.81	31.35	490.68	89.11	3.03	0.51	28.7	148.58	154	279.87	32.28	31.6	0.6
Recording 166	P18-M1	B	1	scenevideo	14650	252770	9467	316	30	351	4.62498	13	93.68	30.06	297.76	73.76	2.87	1.04	10.16	37.29	28	43.48	37.89	37.89	1.64
Recording 166	P18-M1	C	1	scenevideo	5450	267420	2354	196	12	531	4.1537	6	117.95	52.84	233.41	77.35	3.87	0.66	8.86	23.21	977	178.5	116.73	85.32	2.84
Recording 128	P17-P1	A	1	scenevideo	30000	173439	21008	259	81	741	4.71585	49	59.39	30.35	150.61	29.79	1.74	0.64	5.48	85.15	1008	277.71	53.83	52.03	2.04
Recording 128	P17-P1	B	1	scenevideo	16433	203439	7374	139	53	70	3.99364	27	148.51	30.55	560.43	152.58	5.15	0.89	19.64	139.17	442	62.6	46.44	43.67	1.21
Recording 128	P17-P1	C	1	scenevideo	1756	219872	140	70	2	70	3.63719	0													
Recording 2 (3)	P50-P0	A	1	scenevideo	30000	90286	24494	288	85	1112	5.04558	70	110.05	30.2	421.91	83.1	3.12	0.79	12.57	218.49	317	156.63	60.95	49.98	2.13
Recording 95	P13-D1	A	1	scenevideo	30000	212268	24945	462	54	130	3.55044	32	95.43	35.16	218.86	64.29	2.91	0.59	8.09	93.28	736	184.05	63	47.47	1.92
Recording 95	P13-D1	B	1	scenevideo	15747	242268	11841	455	26	311	4.28318	17	91.67	30.61	202.89	59.11	3.14	0.71	5.81	53.4	1622	99.55	32.26	31.82	0.71
Recording 95	P13-D1	C	1	scenevideo	13249	258015	8435	256	33	561	3.95876	17	167.85	34.33	383.36	93.1	5.09	0.59	12.63	86.57	872	339.25	34.33	34.33	0.81
Recording026	P39-W0	A	1	fullstream	30000	73101	18149	313	58	80	4.4136	24	76.55	31.72	170.82	40.81	3.52	0.64	16.36	84.56	1465	357.99	47.81	36.42	5.11
Recording 179	P19-J1	A	1	scenevideo	30000	148658	16119	177	91	290	3.36382	44	81.36	31.24	336.7	69.15	2.38	0.56	12.46	104.86	599	51.29	94.6	71.89	1.77
Recording 179	P19-J1	B	1	scenevideo	28266	178658	18594	230	81	80	3.51894	52	114.97	30.54	607.73	124.7	4.4	0.53	31.34	229.04	4039	134.56	34.04	34.04	2.04
Recording 179	P19-J1	C	1	scenevideo	7080	206924	2865	130	22	140	3.30571	9	90.91	31.47	219.42	68.62	2.56	0.7	7.23	23.06	598	164.09	32.8	32.37	0.7
Recording 387	P48-B0	A	1	scenevideo	30000	258132	9457	111	85	471	4.03782	35	61.49	30.44	169.17	28.66	1.43	0.58	5.26	49.98	903	118.93	43.87	40.99	0.99
Recording 4	P02-W0	A	1	scenevideo	30000	73097	27430	669	41	1122	3.50407	36	113.52	36.32	357.43	60.01	3.15	0.61	9.65	113.58	197	201.77	128.61	84.54	3.19
Recording 223	P37-J0	A	1	scenevideo	30000	85357	21158	249	85	321	4.71944	54	133.73	30.19	394.92	96.83	3.69	0.68	11.65	199.38	523	29.29	45.76	40.32	1.9
Recording 404	P33-D1	A	1	scenevideo	30000	208020	25126	739	34	371	4.59208	25	126.46	33.51	408.71	85.24	4.2	1.92	10.14	105.05	628	131.12	113.45	84.67	2.81
Recording 404	P33-D1	B	1	scenevideo	11433	238020	8606	331	26	952	5.19341	17	154.19	34.67	643.18	157.12	6.66	0.99	34.43	113.29	1915	116.62	34.67	34.67	4.21
Recording 316	P32-B0	A	1	scenevideo	30000	273358	21148	516	41	6993	3.17078	26	132.38	30.83	288.68	83.85	4.59	0.64	11.73	119.39	14383	101.09	55.11	49.24	1.45
Recording 124	P17-J1	A	1	scenevideo	30000	144721	20317	199	102	140	5.52913	59	95.66	30.82	406.92	81.31	2.54	0.56	11.17	149.58	24	52.83	36.09	35.61	0.94
Recording 124	P17-J1	B	1	scenevideo	16400	174721	4448	124	36	70	4.75892	13	121.29	37.54	383.94	111.33	3.11	0.62	10.43	40.48	399	295.02	42.58	38.47	0.62
Recording 124	P17-J1	C	1	scenevideo	2682	191121	892	127	7	200	4.45629	3	143.34	32.76	205.12	95.98	4.75	1.98	7	14.26	889	141.25	192.13	142.64	5.29
