Recording	Participant	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording 53	P10-M1	B	1	scenevideo	15750	250565	10429	261	40	110	4.46038	24	118.1	30.77	708.7	139.35	3.58	0.58	29.05	85.86	272	249.22	284.27	225.56	3.73
Recording 53	P10-M1	C	1	scenevideo	3447	266315	1192	199	6	140	3.6282	4	93.41	34.63	190.61	74.56	3.3	1.15	5.88	13.19	922	60.98	35.23	35.23	1.15
Recording021	P28-J1	A	1	fullstream	30000	156975	7615	206	37	80	3.87961	22	84.66	30.13	185.98	49.86	2.58	0.78	6.5	56.69	619	69.03	85.63	85.63	1.67
Recording021	P28-J1	B	1	fullstream	15316	186975	10554	406	26	220	3.60855	20	164.2	45.41	421.37	117.21	8.25	1.63	30.59	164.91	341	228.27	80.31	80.31	1.66
Recording021	P28-J1	C	1	fullstream	2836	202291	1259	252	5	180	3.51206	4	262.75	154.56	366.12	86.49	12.3	7.38	19.95	49.2	416	106.11	366.12	279.38	19.95
Recording 274	P24-W1	A	1	scenevideo	30000	207744	17612	232	76	371	4.5731	39	99.27	30.21	468.95	99.13	1.97	0.29	9.13	76.88	492	89.75	395.4	160.68	9.13
Recording 274	P24-W1	B	1	scenevideo	12320	237744	8856	492	18	130	4.54994	9	96.95	34.05	493.64	149.59	5.7	1.03	32.71	51.33	15	70.83	61.93	49.21	1.43
Recording 274	P24-W1	C	1	scenevideo	5197	250064	4127	825	5	902	4.53786	5	100.99	39.99	177.18	57.58	2.96	1.11	5.06	14.79	258	173.33	47.83	42.09	1.35
Recording 392	P48-W1	A	1	scenevideo	30000	197401	4969	116	43	170	4.00465	8	146.44	49.39	319.53	107.15	3.95	0.82	7.24	31.61	3316	116.02	49.39	40.3	2.26
Recording 392	P48-W1	B	1	scenevideo	23100	227401	481	80	6	100	4.6297	0													
Recording 392	P48-W1	C	1	scenevideo	14715	250501	711	102	7	120	4.85259	0													
Recording 96	P13-P1	A	1	scenevideo	30000	180498	23132	257	90	261	4.55597	64	97.47	30.92	407.18	84.59	2.92	0.56	13.32	186.89	105	79.55	82.85	56	1.95
Recording 96	P13-P1	B	1	scenevideo	14317	210498	9156	327	28	220	5.06048	22	118.91	32.93	306.63	70.78	3.06	0.78	9.88	67.42	119	150.96	78.87	70.16	1.65
Recording 96	P13-P1	C	1	scenevideo	3890	224815	851	106	8	60	4.71077	6	189.57	31.78	345.56	139.22	5.41	1.23	9.45	32.46	799	86.39	336.74	175.28	9.45
Recording 366	P46-D1	A	1	scenevideo	30000	209822	22280	474	47	1102	3.77532	13	114.88	30.71	390.03	101.89	4.28	0.9	19.82	55.64	2068	102.9	62.51	52.03	1.69
Recording 366	P46-D1	B	1	scenevideo	12533	239822	10279	734	14	992	4.28303	7	167.44	30.95	448.17	187.92	8.96	1.43	27.72	62.69	2393	41.91	30.95	30.95	1.79
Recording 66	P09-M0	A	1	scenevideo	30000	85030	23532	357	66	80	6.32052	58	144.06	31.14	385.32	90.41	4.92	0.53	12.42	285.42	1332	45.56	182.58	107.64	4.74
Recording 5	P02-M0	A	1	scenevideo	30000	79599	26778	1071	25	90	3.59541	22	117.08	30.47	303.2	78.99	3.7	1.16	10.7	81.34	765	73.49	96.11	92.49	4.39
Recording 353	P45-P1	A	1	scenevideo	30000	183796	22691	216	105	70	4.18226	81	100.18	30.23	472.87	81.48	2.84	0.52	13.09	230.11	741	67.27	54	51.05	1.18
Recording 353	P45-P1	B	1	scenevideo	11083	213796	8556	475	18	371	4.68587	16	146.98	30.33	700.4	203.84	5.75	0.69	31.12	91.95	415	287.86	30.33	30.33	0.89
Recording 353	P45-P1	C	1	scenevideo	3717	224879	1583	122	13	160	4.90386	8	83.49	33.5	169	51.95	2.86	1.3	6.28	22.85	1604	73.32	105.19	62.13	3.22
Recording 243	P16-P0	A	1	scenevideo	30000	82643	26077	314	83	160	4.795	62	56.22	31	159.4	25.75	1.57	0.5	5.63	97.03	217	336.03	39.28	38.02	1.73
Recording 48	P10-M0	A	1	scenevideo	30000	84965	23182	297	78	170	4.37479	54	131.8	30.39	453.22	126.58	3.12	0.76	10.44	168.46	320	198.98	399.03	275.11	9.93
Recording 11	P02-D1	A	1	scenevideo	30000	206934	23583	590	40	1573	3.13519	13	124.03	32.66	686.18	183.63	2.22	0.62	4.71	28.86	2388	2.78	41.2	40.8	1.12
Recording 11	P02-D1	B	1	scenevideo	11367	236934	8565	372	23	401	3.54788	12	128.91	40.23	380.03	126.12	4.22	0.98	12.43	50.69	870	215.3	67.07	56.19	1.73
Recording 11	P02-D1	C	1	scenevideo	8352	248301	4508	301	15	250	3.38326	8	143.16	39.35	252.72	83.07	3.71	0.83	7.11	29.71	1034	338.95	51.69	48.95	1.07
Recording 413	P47-W1	A	1	scenevideo	30000	193699	28472	1499	19	220	3.0349	14	64.56	33.24	131.42	26.89	1.52	0.54	3.12	21.34	391	262.43	50.61	40.46	1.3
Recording 413	P47-W1	B	1	scenevideo	12333	223699	10529	810	13	852	3.01741	11	124.46	30.31	426.36	143.7	5.67	0.65	24.15	62.32	184	223.47	39.45	34.81	2.72
Recording 413	P47-W1	C	1	scenevideo	4321	236032	3306	413	8	821	2.93237	8	153.52	42.18	350.83	112.06	6.3	0.81	16.55	50.36	33	85.39	42.18	42.06	0.81
Recording 134	P20-D1	A	1	scenevideo	30000	211240	19896	375	53	60	3.91575	36	130.06	30.19	474.89	119.69	5.67	0.6	40.25	204.06	858	100.7	32.23	31.15	0.93
Recording 134	P20-D1	B	1	scenevideo	38600	241240	25987	299	87	601	4.39774	56	194.94	31.7	477.48	125.79	6.96	0.59	29.69	389.73	6873	143.75	33.44	33.37	0.86
Recording 134	P20-D1	C	1	scenevideo	3429	279840	2715	302	9	301	4.32584	8	260.1	187.49	395.63	70.28	8.53	5.22	15.55	68.25	331	17.84	326.98	200.5	8.42
Recording 208	P27-W1	A	1	scenevideo	30000	261667	18253	285	64	110	4.44545	38	160.41	30.62	646.92	142.59	5.66	0.62	27.53	215.19	1724	84.03	210.86	210.06	4.23
Recording 208	P27-W1	B	1	scenevideo	12367	291667	8766	548	16	421	4.3872	12	234.07	39.22	855.32	285.47	8.92	0.53	37.9	107.1	2781	309.49	39.22	35.35	1.32
Recording 208	P27-W1	C	1	scenevideo	8606	304034	3707	247	15	260	4.15721	10	141.31	30.96	286.38	95.82	4.61	0.58	10.18	46.14	1	5.53	62.75	45.75	1.62
Recording 116	P15-J1	A	1	scenevideo	30000	148754	21138	216	98	321	5.93947	56	113.41	30.12	397.91	104.61	3.35	0.59	13.47	187.88	759	96.2	47.72	41.73	1.36
Recording 116	P15-J1	B	1	scenevideo	26050	178754	12172	150	81	190	6.03858	31	124.61	30.05	516.58	131.85	4.62	0.52	30.96	143.1	372	88.14	106.52	79.66	3.78
Recording 116	P15-J1	C	1	scenevideo	1882	204804	1122	160	7	110	5.7097	4	114.3	47.38	192.61	69.87	2.91	0.62	5.42	11.65	680	287.29	64.06	47.71	0.62
Recording 80	P11-W0	A	1	scenevideo	30000	89887	14957	277	54	60	4.32626	30	53.93	30.05	217.9	42.18	1.52	0.55	4.07	45.51	289	279.33	217.9	120.14	3.3
Recording 55	P06-P0	A	1	scenevideo	30000	78041	24023	227	106	210	3.45184	91	125.41	30.41	427.98	101.2	3.56	0.57	22.11	323.99	262	82.8	40.24	40.24	1.73
Recording 320	P32-M0	A	1	scenevideo	30000	90205	23803	626	38	200	4.17255	26	101.11	31.68	265.98	69.07	2.62	0.51	9.27	68.15	218	173.34	134.71	84.81	3.45
Recording 14	P03-B0	A	1	scenevideo	30000	265584	19966	384	52	1212	3.89352	26	78.62	30.44	228.34	55.71	1.82	0.43	8.28	47.39	7496	37.72	53.74	48.58	0.85
Recording 36	P04-P0	A	1	scenevideo	30000	79461	22611	276	82	631	3.7463	71	113.83	30.08	1214.37	156.52	3.56	0.52	41.53	252.71	97	41.3	46.25	46.25	1.78
Recording 180	P19-W1	A	1	scenevideo	30000	192990	14726	223	66	140	3.01975	41	60.84	30.02	350.72	63.86	1.96	0.59	11.13	80.39	4416	95.67	35.47	33.23	1.43
Recording 180	P19-W1	B	1	scenevideo	14483	222990	5239	159	33	60	3.67555	10	100.82	31.44	183.12	52.97	2.79	0.79	6.93	27.85	2797	231.73	132.85	94.43	2.61
Recording 180	P19-W1	C	1	scenevideo	10644	237473	3096	119	26	150	3.73172	8	111.91	33.91	212.28	54.88	3.63	1.16	7.44	29.06	2349	338.71	109.26	73.05	3.12
Recording 219	P23-D1	A	1	scenevideo	30000	208455	25346	724	35	1032	4.10505	20	136.88	35.2	707.69	152.89	2.7	0.18	7.27	54.09	3838	198.11	151.19	103.71	2.75
Recording 219	P23-D1	B	1	scenevideo	12453	238455	9948	585	17	1032	5.20985	11	139.63	30.5	432.83	113.97	4.9	0.96	24.46	53.9	8220	217.23	121.76	84.95	0.96
Recording 26	P07-W0	A	1	scenevideo	30000	75698	9707	123	79	60	4.00592	29	71.36	30.21	379.85	76.07	1.87	0.63	8.78	54.31	1686	112.17	48.5	45.2	1
Recording016	P28-J0	A	1	fullstream	30000	85080	25085	339	74	220	4.13668	70	124.44	31.84	396.75	84.72	5	1.27	17.61	350.29	160	265.46	129.31	85.19	5.35
Recording 3 (2)	P08-W0	A	1	scenevideo	30000	88999	26408	880	30	1373	4.99007	31	81.82	36.67	149.7	27.83	2.27	0.51	6.04	70.3	815	266.91	70.93	62.69	1.64
Recording 129	P20-B0	A	1	scenevideo	30000	262759	17872	242	74	120	4.37992	45	133.95	30.13	379.36	105.75	4.43	0.29	21.59	199.28	1500	92.74	30.45	30.45	1.24
Recording 239	P38-D1	A	1	scenevideo	30000	208809	26839	1579	17	3456	3.1359	5	272.82	36.28	572.29	227.76	8.28	0.26	25.83	41.38	5481	248.39	36.28	34.82	1.29
Recording 239	P38-D1	B	1	scenevideo	11400	238809	5450	218	25	190	3.50368	9	248.02	44.98	514.87	184.62	7.11	1.26	23.53	64.03	837	253.57	292.23	142.28	9.6
Recording 253	P22-B0	A	1	scenevideo	30000	253933	27240	619	44	281	3.07826	37	74.16	30.46	217.51	47.23	2.21	0.72	8.15	81.82	353	267.85	49.25	38.28	1.11
Recording 328	P43-W0	A	1	scenevideo	30000	75877	21278	367	58	130	3.87161	35	177.87	30.58	559.52	147.43	3.96	0.57	15.58	138.63	2017	93.09	98.48	97.37	2.36
Recording 393	P48-M1	A	1	scenevideo	30000	225294	3196	133	24	190	3.80383	10	76.41	31.58	183.62	53.83	1.66	0.65	3.88	16.64	1	325.29	31.76	31.76	0.66
Recording 393	P48-M1	B	1	scenevideo	13614	255294	851	284	3	411	4.14699	1	40.12	40.12	40.12		1.16	1.16	1.16	1.16	927	240.53	40.12	37.25	1.16
Recording 393	P48-M1	C	1	scenevideo	8968	268908	210	70	3	70	3.90398	1	549.27	549.27	549.27		10.56	10.56	10.56	10.56	8040	187.04	549.27	182.13	10.56
Recording014	P28-M0	A	1	fullstream	30000	86940	0		0			0													
Recording 5 (2)	P08-P0	A	1	scenevideo	30000	80211	26438	311	85	210	4.1531	75	96.39	31.21	308.49	68.67	2.86	0.61	11.28	214.49	218	180.46	76.13	56.08	2.14
Recording 16	P03-M0	A	1	scenevideo	30000	91644	3907	112	35	90	3.96897	10	90.37	31.52	438.11	124.92	1.62	0.6	6.88	16.21	1529	263.28	55.17	48.7	1.82
Recording 47	P10-W0	A	1	scenevideo	30000	79276	20908	387	54	2685	3.7982	26	133.69	30.35	416.89	107.06	3.04	0.65	7.31	79.17	4138	47.14	219.28	117.14	6.94
Recording 409	P47-W0	A	1	scenevideo	30000	87473	21419	1071	20	641	2.72777	17	69.48	31.53	153.27	35.85	1.87	0.62	3.39	31.73	1708	256.99	62.8	61.97	1.18
Recording 254	P22-J0	A	1	scenevideo	30000	91330	25666	356	72	60	4.06539	62	119.42	30.37	314.6	77.65	3.96	0.61	16.29	245.72	868	194.13	251.15	175.99	13.09
Recording 24	P07-B0	A	1	scenevideo	30000	252936	24174	620	39	3607	3.0442	16	78.16	30.48	247.73	56.64	2.43	0.53	6.06	38.95	9247	136.05	64.76	62.2	1.04
Recording 281	P42-W1	A	1	scenevideo	30000	198678	13364	191	70	160	4.99672	31	153.03	30.66	1598.41	282.62	3.89	0.6	32.39	120.72	783	262.79	40.54	40.49	0.83
Recording 281	P42-W1	B	1	scenevideo	12333	228678	2234	112	20	70	5.39736	7	69.05	31	112.68	31.48	2.06	0.7	3.34	14.44	827	271.69	34.58	34.58	0.7
Recording 281	P42-W1	C	1	scenevideo	2720	241011	220	73	3	70	5.06799	1	31.07	31.07	31.07		0.9	0.9	0.9	0.9	2469	97.44	31.07	31.07	0.9
Recording 58	P06-M0	A	1	scenevideo	30000	86046	25677	414	62	451	3.55246	44	217.74	30.99	570.98	178.43	4.87	0.37	16.74	214.38	0	359.95	36.07	36.07	0.9
Recording 262	P22-P1	A	1	scenevideo	30000	183750	27660	355	78	250	4.25064	79	108.68	30.73	383.11	85.05	3.04	0.57	13.32	240.47	131	77.12	43.46	36.99	0.98
Recording 262	P22-P1	B	1	scenevideo	12069	213750	8706	202	43	120	4.11852	24	161.79	48.08	628.57	171.65	4.77	0.54	37.25	114.37	75	97.95	49.79	49.79	1.02
Recording 262	P22-P1	C	1	scenevideo	7515	225819	5219	180	29	70	3.83076	22	202.48	34.18	695.8	223.21	9.58	0.37	43.49	210.76	599	97.5	34.18	32.78	1.04
Recording 6 (3)	P50-D1	A	1	scenevideo	30000	207611	21669	637	34	1613	4.03197	25	130.39	33.19	515.69	114.2	3.87	0.68	18.66	96.75	1673	344.86	33.19	33.19	2.26
Recording 6 (3)	P50-D1	B	1	scenevideo	19983	237611	13514	347	39	150	4.51624	26	104.29	31.48	329.02	64.41	3.4	0.67	14.92	88.34	3110	2.67	223.4	121.59	6.95
Recording 52	P10-W1	A	1	scenevideo	30000	193865	23793	476	50	1042	4.40354	30	131.32	32.27	539.21	133.65	3.61	0.69	19.05	108.39	1106	345.24	122.5	122.13	2.2
Recording 52	P10-W1	B	1	scenevideo	13717	223865	9677	358	27	120	4.38859	13	96.16	36.15	205	57.35	2.88	0.67	6.14	37.47	1471	118.21	58.4	52.55	1.73
Recording 52	P10-W1	C	1	scenevideo	3257	237582	751	150	5	341	3.78414	3	70.27	32.64	135.94	57.07	1.94	1.11	3.48	5.81	377	0.13	42.23	41.45	1.11
Recording 186	P25-D1	A	1	scenevideo	30000	222043	22110	425	52	1352	2.90384	26	138.58	30.33	513.38	112.63	4.93	0.74	32.3	128.06	3086	198.4	71.35	54.69	1.78
Recording 186	P25-D1	B	1	scenevideo	17867	252043	13214	367	36	120	3.43562	23	92.58	30.88	530.35	101.82	3.08	0.59	28.26	70.94	1929	80.09	86.44	62.04	0.59
Recording 369	P35-J0	A	1	scenevideo	30000	89351	22310	240	93	130	4.49765	62	146.84	33.64	555.28	117.83	4.58	0.56	19.35	283.91	143	190.22	84.74	70.49	2.79
Recording 2	P02-B0	A	1	scenevideo	30000	272074	23392	632	37	441	3.20968	17	141.66	30.51	614.53	165.24	2.66	0.52	9.98	45.29	431	180.22	101.01	77.73	1.83
Recording 293	P40-W1	A	1	scenevideo	30000	192128	26648	740	36	761	3.46793	32	101.25	39.43	366.77	69.44	2.86	0.87	11.15	91.46	582	352.94	81.01	74.48	1.29
Recording 293	P40-W1	B	1	scenevideo	12300	222128	8235	549	15	200	3.50064	8	129.63	31.48	255.28	91.03	4	1.95	9.05	32	676	63.62	169.25	118.67	2.16
Recording 293	P40-W1	C	1	scenevideo	3637	234428	2194	548	4	401	3.37522	4	67.55	31.74	109.02	32.28	2.15	1.51	2.76	8.58	468	311.19	72.02	54.72	2.76
Recording 171	P19-M0	A	1	scenevideo	30000	94875	24815	528	47	691	3.50455	34	88.85	30.01	416.67	79.59	2.53	0.57	11.57	85.92	308	92.52	131.09	75.19	4.64
Recording 109	P15-P0	A	1	scenevideo	30000	86829	21168	235	90	90	4.24239	55	93.67	30.65	312.04	68.5	2.98	0.56	20.95	164.02	1772	271.01	83.8	63	3.66
Recording 406	P33-J1	A	1	scenevideo	30000	144669	10118	139	73	70	6.22936	20	79.77	32.09	260.27	55.9	1.98	0.68	4.52	39.55	1	97.78	48.84	48.84	1.19
Recording 406	P33-J1	B	1	scenevideo	14250	174669	4338	128	34	431	6.03176	11	90.31	33.12	169.04	44.47	2.04	0.54	6.6	22.47	4032	351.25	169.04	88.47	6.6
Recording 406	P33-J1	C	1	scenevideo	433	188919	0		0			0													
Recording 105	P14-P1	A	1	scenevideo	30000	188852	22611	471	48	100	4.62152	30	62.73	30.6	162.7	39.27	3.06	0.7	7.08	91.71	628	98.04	102.69	72.32	3.13
Recording 105	P14-P1	B	1	scenevideo	17402	218852	11541	412	28	60	4.53609	14	177.68	30.55	478.72	134.31	7.19	1.31	26.51	100.64	512	252.42	40.49	40.16	1.31
Recording 105	P14-P1	C	1	scenevideo	3211	236254	1342	336	4	371	4.37903	3	247.18	176.23	297.73	63.26	6.4	5.04	7.12	19.2	1042	158.17	176.23	115.12	5.04
Recording 224	P37-W0	A	1	scenevideo	30000	89799	26167	793	33	361	4.11698	22	95.6	36.51	271.83	69.3	2.54	0.71	5.64	55.8	451	147.71	271.83	182.55	4.08
Recording 326	P32-P1	A	1	scenevideo	30000	178600	24184	242	100	210	3.59089	84	140.83	32.04	447.18	100.19	4.54	0.61	20.44	381.36	225	278.28	105.41	75.53	2.31
Recording 326	P32-P1	B	1	scenevideo	11434	208600	9006	392	23	150	3.91657	16	110.97	32.84	472.02	121.25	5.1	0.79	25.8	81.53	951	242.7	63.34	50.09	2.24
Recording 326	P32-P1	C	1	scenevideo	2305	220034	1963	245	8	301	3.96291	7	89.84	34.15	188.19	65.4	2.72	1.16	6.17	19.06	417	302.08	34.15	34.15	1.16
Recording 390	P48-P0	A	1	scenevideo	30000	88243	3106	111	28	70	3.83838	4	127.26	31.35	400.35	182.12	0.69	0.54	1.03	2.77	5180	305.16	42.69	37.46	0.64
Recording028	P39-D1	A	1	fullstream	30000	209238	11893	410	29	440	3.19131	12	85.21	33.82	243.35	64.19	3.48	1.14	9.68	41.71	606	94.06	39.72	39.72	1.23
Recording028	P39-D1	B	1	fullstream	12533	239238	9274	843	11	1139	3.50015	6	62.02	33.7	96.54	23.67	2.24	1.11	4.35	13.45	3726	318.58	76.7	76.7	3
Recording 84	P11-J1	A	1	scenevideo	30000	149444	22801	275	83	361	4.54531	53	81.95	30.36	351.26	65.49	2.64	0.62	10.2	139.91	249	6.05	76.83	54.14	2.46
Recording 84	P11-J1	B	1	scenevideo	22450	179444	8967	166	54	611	3.90402	27	62.73	30.44	176.39	39.56	2.09	0.54	5.44	56.37	946	287.36	39.3	36.79	1.11
Recording 84	P11-J1	C	1	scenevideo	5359	201894	220	73	3	80	3.52412	0													
Recording 175	P19-M1	A	1	scenevideo	30000	234775	17602	259	68	80	3.1264	30	86.87	30.16	434.64	114.96	2.52	0.51	16.01	75.45	4065	155.29	417.61	161.89	8.22
Recording 20 (2)	P05-W1	A	1	scenevideo	30000	189470	24344	369	66	341	3.12598	48	95.04	30.73	305.46	64.34	2.48	0.53	10.16	119.02	478	227.89	47.76	43.9	0.94
Recording 20 (2)	P05-W1	B	1	scenevideo	14400	219470	9848	352	28	210	3.49638	20	69.94	31.7	216.63	55.85	2.13	0.53	5.8	42.52	562	24.38	69.8	51.17	2.34
Recording 20 (2)	P05-W1	C	1	scenevideo	2847	233870	1422	284	5	381	3.29979	3	147.93	30.51	288.91	130.8	5.16	1.54	10	15.47	67	294.8	30.51	30.51	1.54
Recording 250	P16-M1	A	1	scenevideo	30000	227052	20057	318	63	60	5.52713	38	73.72	30.2	336.12	65.84	2.06	0.39	10.76	78.26	114	61.57	44.18	42.59	0.98
Recording 250	P16-M1	B	1	scenevideo	12567	257052	8906	278	32	110	4.84341	18	113.14	33.56	556.29	155.24	4.51	0.76	27.26	81.16	269	85.76	42.59	42.59	2.37
Recording 250	P16-M1	C	1	scenevideo	2268	269619	611	122	5	70	4.45797	2	146.84	142.91	150.77	5.55	4.78	4.35	5.2	9.55	826	163.34	150.77	86.37	5.2
Recording 120	P17-J0	A	1	scenevideo	30000	85095	14947	141	106	170	5.52806	46	91.74	30.33	549.43	92.84	2.4	0.66	12.54	110.49	1769	282.46	39.48	38.9	0.66
Recording 168	P18-P1	A	1	scenevideo	30000	188799	22290	227	98	160	4.28825	65	137.71	30.02	412.34	101	4.13	0.53	19.4	268.76	692	83.21	96.67	69.3	2.27
Recording 168	P18-P1	B	1	scenevideo	14300	218799	10599	259	41	60	4.40983	26	145.25	34.37	740.6	160.92	4.1	0.54	15.52	106.58	105	78.91	77.32	76.14	2.04
Recording 168	P18-P1	C	1	scenevideo	2911	233099	1653	236	7	90	3.84469	3	111.29	52.86	218.17	92.7	3.44	1.29	7.03	10.31	181	219.85	52.86	52.86	1.29
Recording 169	P18-J1	A	1	scenevideo	30000	143664	22541	259	87	210	5.21131	59	103.92	30.33	286.81	66.26	3.02	0.57	9.76	178.05	518	260.82	95	67.01	2.26
Recording 169	P18-J1	B	1	scenevideo	14250	173664	10018	358	28	110	4.64317	20	120.34	30.49	549.48	130.33	4.56	0.92	23.24	91.29	82	186.49	43.99	43.99	1.13
Recording 169	P18-J1	C	1	scenevideo	2297	187914	1142	143	8	210	4.02285	5	195.17	73.87	370.19	116.24	3.66	1.75	6.86	18.28	148	50.92	370.19	189.45	3.36
Recording 336	P43-J1	A	1	scenevideo	30000	144807	23753	297	80	321	4.52291	59	150.67	31.17	542.52	123.75	4.17	0.55	17.18	246.22	425	319.07	401.81	215.68	10.35
Recording 336	P43-J1	B	1	scenevideo	17483	174807	14146	363	39	110	4.97188	30	157.17	30.52	431.57	117.96	5.05	0.66	30.29	151.43	139	183.38	306.77	179.86	7.19
Recording 336	P43-J1	C	1	scenevideo	3560	192290	1503	301	5	240	4.79468	4	95.44	72.22	157.81	41.63	2.84	1.25	4.9	11.36	608	247.58	74.55	52.98	1.25
Recording 391	P48-J0	A	1	scenevideo	30000	92897	1392	87	16	80	4.8113	0													
Recording 289	P40-M0	A	1	scenevideo	30000	84483	26628	986	27	731	3.2705	20	219.57	31.94	1311.95	294.75	5.51	0.58	26.42	110.12	15	201.95	344.73	184.7	9.39
Recording 327	P43-B0	A	1	scenevideo	30000	264279	25196	646	39	411	3.87889	30	196.6	31.2	478.8	144.29	7.92	0.69	25.22	237.65	715	314.63	35.22	32.89	1.53
Recording 381	P44-W0	A	1	scenevideo	30000	94650	17602	279	63	381	3.43067	37	75.13	30.05	357.39	64.03	2.35	0.59	14.41	86.97	692	320.41	33.53	33.53	3.43
Recording024	P39-P0	A	1	fullstream	30000	86068	22907	310	74	280	3.81185	61	126.82	30.05	415.04	100.55	5.9	0.51	28.36	359.76	72	63.79	415.04	228.37	18.15
Recording 136	P20-J1	A	1	scenevideo	30000	150265	22140	254	87	210	6.19021	55	160.26	35.08	524.54	118.8	4.75	0.54	21.84	261.27	610	220.38	183.93	126.29	6.73
Recording 136	P20-J1	B	1	scenevideo	23417	180265	15979	246	65	240	5.64937	43	140.86	30.45	410.41	88.07	4.4	0.53	22.84	189.21	143	3.89	142.47	104.78	3.69
Recording 136	P20-J1	C	1	scenevideo	885	203682	391	98	4	120	4.99941	3	63.89	32.71	119.2	48.03	2.25	1.67	3.15	6.75	369	79.08	39.77	35.09	3.15
Recording 355	P45-W1	A	1	scenevideo	30000	193712	12453	173	72	110	4.48043	31	113.83	30.46	413.35	95.06	3.47	0.6	14.13	107.44	221	65.11	177.46	141.3	1.88
Recording 355	P45-W1	B	1	scenevideo	11233	223712	8185	356	23	301	4.63483	13	149.23	32.41	534.4	174.17	6.13	1.07	29.47	79.65	1047	317.73	81.11	56.63	1.2
Recording 355	P45-W1	C	1	scenevideo	2906	234945	1282	214	6	351	4.61466	5	113.9	70.62	175.25	42.87	3.43	1.38	6.01	17.13	423	281.74	116.35	81.29	3.84
Recording 23	P03-J1	A	1	scenevideo	30000	137991	8375	120	70	70	4.35126	16	82.44	32.84	352.24	77.46	1.69	0.57	6.95	27.09	4423	245.17	61.7	58.69	0.57
Recording 23	P03-J1	B	1	scenevideo	11600	167991	6441	208	31	90	4.71191	14	159.51	31.4	561.52	180.76	5.27	0.61	30.28	73.72	800	271.03	31.4	31.4	1.24
Recording 23	P03-J1	C	1	scenevideo	1097	179591	721	180	4	180	4.48585	2	134.09	37.02	231.16	137.27	4.5	2.31	6.68	9	220	32.12	231.16	143.65	6.68
Recording 63	P06-M1	A	1	scenevideo	30000	219543	20407	280	73	331	3.48837	46	226.55	30.61	715.47	165.57	6.89	0.73	32.05	316.82	562	175.97	348.52	198.58	9.84
Recording 63	P06-M1	B	1	scenevideo	13500	249543	8826	210	42	1152	3.61076	24	141.49	30.23	553.06	157.73	5.3	0.51	32.89	127.16	286	136.03	113.12	80.38	1.87
Recording 63	P06-M1	C	1	scenevideo	7273	263043	3106	163	19	190	3.7183	10	161.71	30.86	532.92	189.31	5.84	0.72	20.34	58.38	20	255.21	35.18	33.29	2.84
Recording 230	P37-D1	A	1	scenevideo	30000	209780	27109	1355	20	150	3.72437	11	133.3	30.58	392.56	133.92	6.57	0.64	26.54	72.22	1133	231.28	56.41	53.83	1.49
Recording 230	P37-D1	B	1	scenevideo	10303	239780	6742	355	19	100	4.22132	12	139.45	36.81	472.99	126.44	4.04	0.53	14.27	48.51	2540	114.16	94.68	63	2.56
Recording 22 (2)	P05-M2	A	1	scenevideo	30000	219488	21098	301	70	220	3.13894	36	199.86	30.22	537.75	153.38	6.17	0.57	18.96	222.12	772	345.1	267.01	139.44	8.19
Recording 22 (2)	P05-M2	B	1	scenevideo	13734	249488	8525	258	33	160	3.51826	17	178.13	30.26	450.99	151.2	6.39	0.8	20.28	108.66	165	218.17	412.4	237.28	19.6
Recording 22 (2)	P05-M2	C	1	scenevideo	3362	263222	2374	237	10	771	3.35429	10	140.3	33.17	266.07	72.95	3.78	1.05	7.51	37.76	26	257.11	166.83	96.36	5.38
Recording 383	P44-D1	A	1	scenevideo	30000	208624	23733	579	41	100	3.90026	24	80.26	30.92	171.53	46.75	2.21	0.59	6.15	53.09	391	325.14	35.26	35.26	2.88
Recording 383	P44-D1	B	1	scenevideo	29700	238624	21689	394	55	60	4.50755	44	154.07	32.18	432.13	118.29	5.35	0.63	19.19	235.25	616	103.74	36.74	36.59	0.84
Recording 282	P42-M1	A	1	scenevideo	30000	224102	5069	133	38	70	4.46176	8	70.29	34.28	151.04	39.15	1.94	0.77	4.12	15.53	1644	182.51	87.77	87.68	1.73
Recording 282	P42-M1	B	1	scenevideo	14683	254102	2224	106	21	70	5.36533	4	173.12	85.65	281.59	96.68	3.09	0.54	6.69	12.37	3061	101.88	97.81	76.95	0.54
Recording 282	P42-M1	C	1	scenevideo	15726	268785	9297	207	45	140	4.8897	25	131.7	30.54	329.81	90.02	4.23	0.9	15.99	105.74	780	254.48	31.91	31.91	1.47
Recording 198	P26-J1	A	1	scenevideo	30000	234201	25576	365	70	561	5.08021	59	156.82	30.57	371.72	101.67	4.49	0.76	12.65	264.71	650	225.25	239.04	141.85	5.71
