id,task,Frame,stream_1,AD_State
24,P,282677,7,0
24,P,282955,8,0
24,P,283131,8,1
24,P,284607,8,1
24,W,320521,0,1
24,W,333532,7,1
24,W,333752,7,0
24,W,334091,8,0
24,W,334270,8,1
24,W,335791,8,1
25,D,167673,0,1
25,D,181704,7,1
25,D,181942,7,0
25,D,181944,7,1
25,D,182000,7,0
25,D,182254,8,0
25,D,182776,8,1
25,D,183925,8,1
25,J,227892,0,1
25,J,237945,7,1
25,J,238265,7,0
25,J,238267,7,1
25,J,238281,7,0
25,J,238491,8,0
25,J,238799,8,1
25,J,239438,8,1
25,M,277558,0,1
25,M,292427,7,1
25,M,292816,7,0
25,M,292818,7,1
25,M,292855,7,0
25,M,292972,8,0
25,M,293308,8,1
25,M,294343,8,1
25,P,192040,0,1
25,P,203897,7,1
25,P,204323,7,0
25,P,204325,7,1
25,P,204367,7,0
25,P,204440,8,0
25,P,205079,8,1
25,P,207592,8,1
25,W,251240,0,1
25,W,264313,7,1
25,W,264603,7,0
25,W,264605,7,1
25,W,264664,7,0
25,W,264865,8,0
25,W,265246,8,1
25,W,267040,8,1
26,D,82151,0,1
26,D,95992,7,1
26,D,96117,7,0
26,D,96119,7,1
26,D,96159,7,0
26,D,96548,7,1
26,D,96566,8,1
26,D,96611,8,0
26,D,96677,8,1
26,D,97795,8,1
26,J,1594,0,0
26,J,11580,7,1
26,J,12004,7,0
26,J,12006,7,1
26,J,12048,7,0
26,J,12125,8,0
26,J,12373,8,1
26,J,13532,8,1
26,M,57073,0,1
26,M,71876,7,1
26,M,72180,7,0
26,M,72182,7,1
26,M,72239,7,0
26,M,72428,8,0
26,M,72499,8,1
26,M,73435,8,1
26,P,92450,0,0
26,P,104176,7,1
26,P,104646,7,0
26,P,104648,7,1
26,P,104650,7,0
26,P,104720,8,0
26,P,104972,8,1
26,P,105035,8,0
26,P,105359,8,1
26,P,105422,8,0
26,P,105618,8,1
26,P,107178,8,1
26,W,25795,0,1
26,W,38867,7,1
26,W,39182,7,0
26,W,39184,7,1
26,W,39220,7,0
26,W,39416,7,1
26,W,39418,8,1
26,W,43144,8,1
27,D,54500,0,1
27,D,68403,7,1
27,D,68633,7,0
27,D,68958,7,1
27,D,68964,8,1
27,D,70056,8,1
27,J,380169,0,1
27,J,390222,7,1
27,J,390708,7,0
27,J,390710,7,1
27,J,390750,7,0
27,J,390764,8,0
27,J,391530,8,0
27,M,29323,0,1
27,M,44191,7,1
27,M,44493,7,0
27,M,44743,8,0
27,M,44753,8,1
27,M,45660,8,1
27,P,75273,0,1
27,P,87069,7,1
27,P,87343,7,0
27,P,87603,7,1
27,P,87625,8,1
27,P,87666,8,0
27,P,87797,8,1
27,P,89416,8,1
27,W,1836,0,0
27,W,14907,7,1
27,W,15260,7,0
27,W,15457,8,0
27,W,15649,8,1
27,W,17930,8,1
28,D,224548,0,1
28,D,238385,7,1
28,D,238605,7,0
28,D,238607,7,1
28,D,238617,7,0
28,D,238943,8,0
28,D,239264,8,1
28,D,241073,8,1
28,J,273039,0,1
28,J,283156,7,1
28,J,283446,7,0
28,J,283448,7,1
28,J,283492,7,0
28,J,283706,8,0
28,J,284075,8,1
28,J,285399,8,1
28,M,197772,0,1
28,M,212702,7,1
28,M,213150,7,0
28,M,213152,7,1
28,M,213196,7,0
28,M,213245,8,0
28,M,213585,8,1
