task,mean_hr_beats_min,max_hr_beats_min,mean_rr_ms,rmssd_ms,rr_tri_index,lf_hf_ratio,total_power_ms_2,drv_percentage,pupil_z,pupil_change,fix_count,fix_dur,entropy_log2,spatial_density,drv_scanpath_len,drv_saccade_len,drv_convex_hull,drv_fix_count,drv_fix_dur,drv_grid_transition,drv_spatial_density,drv_NNI,RT_adoff,mean_hand
P,63.358,65.7895,947,22.8834,4,0.4494,500.2675,1,2.754182514,0.167962803,81,24.594522,7.589625442,0.016927083,0,0,0,0,0,0,0,0,11.68333333,134.9552573
W,60.4717,62.6959,992.2,33.4824,6,0.9402,601.0533,1,4.144838149,0.252771424,68,15.358183,8.176700678,0.024594907,0,0,0,0,0,0,0,0,6.333333333,46.11767179
D,69.3275,73.7101,865.4571,33.5093,7,1.2539,894.413,0.152010907,1.623380971,0.109948324,40,25.947289,5.828950542,0.015817901,3518.35156,125.6554128,52803,29,21.559209,42.60450161,0.044596354,715.6684302,2.766666667,28.02903427
J,70.2142,75.7767,854.5278,43.7022,9,0.768,1524.9473,1,5.709683322,0.386705355,90,25.686441,7.51662152,0.015866127,0,0,0,0,0,0,0,0,8.816666667,30.81264807
M,71.4168,80.732,840.1389,38.1187,9,4.0482,3773.2494,0.905582357,4.146979115,0.280866545,42,25.886839,7.445458082,0.017602238,660.2939638,110.048994,23209.5,7,2.003505,49.27007299,0.010959201,112.4688872,6.116666667,7.732256267
P,72.2601,74.9064,830.3333,28.4727,7.2,0.9141,739.5165,0.974657534,4.044588943,0.273931865,69,24.534536,7.581275429,0.018422068,0,0,0,1,0.190369,68.91891892,0.005208333,63.88706191,7.833333333,17.07711978
W,74.2301,82.1018,808.2973,38.6336,9.25,0.9113,1496.6933,0.96388102,3.816051587,0.25845349,44,24.253992,7.204839147,0.017119985,0,0,0,1,0.420819,58.82352941,0.00531684,52.46198969,6.95,27.16546465
D,82.1753,87.5146,730.1463,18.6179,6.833333,0.9235,715.6125,0.08806126,0.876649757,0.051006731,56,24.694898,6.024341077,0.011766975,4018.52484,85.50052852,60223,48,21.980032,27.78625954,0.031032986,631.4991269,7.083333333,92.17810912
J,77.5528,79.1557,773.6667,27.6557,4.875,0.1534,363.2456,1,13.21421182,0.768851803,88,23.77267,7.739924691,0.020158179,0,0,0,0,0,0,0,0,6.683333333,33.76905565
M,78.4998,83.3565,764.3333,29.1054,5.571429,1.249,522.766,0.912328767,5.258193436,0.305941176,75,18.423134,7.132429258,0.011236497,715.119488,119.1865813,20566,7,1.071965,66.96428571,0.013563368,116.0304035,7.2,29.27762424
P,82.0109,90.3887,731.6098,27.1868,8.2,5.5969,2050.3501,0.967320261,6.068871192,0.353109412,93,22.450592,7.992334176,0.022135417,81.15417426,81.15417426,0,2,0.32058,71.57894737,0.006835938,72.19651071,6.75,37.27077056
