id,task,1,2,3,4,5,6,7,8,9,10
8,D,346223,361200,361448,361758,362160,362657,NA,NA,NA,NA
8,J,404671,415121,415446,415676,416029,417390,NA,NA,NA,NA
8,M,317823,332999,333376,333549,333894,335713,NA,NA,NA,NA
8,P,376749,388741,389076,389294,389594,391910,NA,NA,NA,NA
8,W,280230,293711,294042,294268,294753,296312,NA,NA,NA,NA
TestSubj,D,633678,633912,634238,634753,635541,253841,267740,268038,268304,268492
TestSubj,J,524202,524605,524791,525575,526792,171521,181575,181911,182125,182300
TestSubj,M,597274,597641,597822,598353,604811,225250,240118,240419,240685,240808
TestSubj,P,489351,494786,140119,151914,152317,152463,152707,NA,NA,NA
TestSubj,W,563206,563626,563751,564208,566509,197610,210744,211162,211290,211680
