id,task,START,TOR1,AD_off,TOR2,AD_On,END,abnormal,RT_adoff,T_steer,RT_steer,T_gas,RT_gas,,window start_fromend ,
32,W,244171,257182,257402,257781,258243,260940,,3.666666667,257415,3.883333333,257659,7.95,,186.85,03:07
33,D,611098,624934,625166,625497,625620,627137,,3.866666667,625150,3.6,NA,#VALUE!,,200.6,03:21
33,J,30872,40862,41263,41412,41717,42248,,6.683333333,41223,6.016666667,NA,#VALUE!,,136.5,02:16
33,M,583947,598687,599112,599233,599501,600133,,7.083333333,599080,6.55,NA,#VALUE!,,215.6666667,03:36
33,P,3752,15414,15886,15958,16275,17424,,7.866666667,15823,6.816666667,NA,#VALUE!,,164.3666667,02:44
33,W,554007,567014,567625,567558,567627,568995,1,10.18333333,567630,10.26666667,NA,#VALUE!,,186.7833333,03:07
34,D,43826,57727,57895,58294,58606,59777,,2.8,57885,2.633333333,57922,3.25,,201.6833333,03:22
34,J,89668,99658,100503,100201,NA,100503,1,14.08333333,100148,8.166666667,100147,8.15,,136.5,02:16
34,M,7164,21836,22266,22383,23688,26014,,7.166666667,22152,5.266666667,22258,7.033333333,,214.5333333,03:35
34,P,64337,76068,76536,76612,76860,78362,,7.8,76440,6.2,76487,6.983333333,,165.5166667,02:46
34,W,114107,127242,127592,127790,128046,129146,,5.833333333,127590,5.8,127569,5.45,,188.9166667,03:09
35,D,607795,621638,621930,622188,622254,622890,,4.866666667,621934,4.933333333,NA,#VALUE!,,200.7166667,03:21
35,J,663052,673103,673440,673654,673765,674481,,5.616666667,673437,5.566666667,NA,#VALUE!,,137.5166667,02:18
35,M,713303,728041,728468,728585,728857,729291,,7.116666667,728474,7.216666667,NA,#VALUE!,,215.6333333,03:36
35,P,628388,640181,640713,640725,641169,643460,,8.866666667,640681,8.333333333,NA,#VALUE!,,166.55,02:47
35,W,688122,701064,701414,701612,701868,702449,,5.833333333,701404,5.666666667,NA,#VALUE!,,185.7,03:06
37,D,180043,194011,194241,194572,194630,195463,,3.833333333,194223,3.533333333,NA,#VALUE!,,202.8,03:23
37,J,97618,107604,108114,108146,108465,109279,,8.5,108026,7.033333333,108094,8.166666667,,136.4333333,02:16
37,M,153515,168191,168490,168744,168814,169883,,4.983333333,168469,4.633333333,168590,6.65,,214.6,03:35
37,P,200111,211777,212051,212334,NA,213211,1,4.566666667,212062,4.75,NA,#VALUE!,,164.4333333,02:44
37,W,127087,140033,140436,140581,140708,142209,,6.716666667,140360,5.45,140418,6.416666667,,185.7666667,03:06
38,D,308224,322063,322245,322628,322747,323190,1,3.033333333,322283,3.666666667,322242,2.983333333,,200.65,03:21
38,J,355362,365415,365567,365986,NA,366426,1,2.533333333,365604,3.15,365564,2.483333333,,137.55,02:18
38,M,280622,295361,295595,295921,295984,296727,,3.9,295646,4.75,295594,3.883333333,,215.65,03:36
38,P,328184,339976,340152,340543,NA,342008,1,2.933333333,340174,3.3,340149,2.883333333,,166.5333333,02:47
38,W,249852,263309,263599,263869,264246,265075,,4.833333333,263490,3.016666667,263548,3.983333333,,194.2833333,03:14
39,D,263126,277092,277326,277664,277844,278763,,3.9,277284,3.2,277674,9.7,,202.7666667,03:23
39,J,312189,322369,322708,322922,323097,324860,,5.65,322620,4.183333333,NA,#VALUE!,,139.6666667,02:20
39,M,226976,241780,242143,242328,242596,244383,,6.05,242112,5.533333333,NA,#VALUE!,,216.7333333,03:37
39,P,283308,295038,295377,295590,295766,298078,,5.65,295383,5.75,NA,#VALUE!,,165.5,02:46
39,W,336147,349339,349700,349890,350218,351632,,6.016666667,349510,2.85,349680,5.683333333,,189.8666667,03:10
40,D,5212,19046,19345,19599,20056,20573,,4.983333333,19349,5.05,19333,4.783333333,,200.5666667,03:21
40,J,68287,78277,NA,78818,79584,80674,1,21.78333333,78591,5.233333333,79161,14.73333333,,136.5,02:16
40,M,116840,131643,132006,132191,132330,133611,,6.05,131979,5.6,131972,5.483333333,,216.7166667,03:37
40,P,40388,52247,52651,52796,53040,54534,,6.733333333,52638,6.516666667,52629,6.366666667,,167.65,02:48
40,W,94643,107590,107939,108140,108328,108954,,5.816666667,107883,4.883333333,107877,4.783333333,,185.7833333,03:06
41,D,63365,77203,77499,77761,78017,78332,,4.933333333,77524,5.35,77742,8.983333333,,200.6333333,03:21
41,J,217801,227856,228257,228402,228582,229150,,6.683333333,228266,6.833333333,NA,#VALUE!,,137.5833333,02:18
41,M,36401,51140,51505,51691,51894,53351,,6.083333333,51498,5.966666667,51632,8.2,,215.65,03:36
41,P,187455,199313,NA,199857,200428,201469,1,18.58333333,199800,8.116666667,199879,9.433333333,,167.6333333,02:48
41,W,8303,21180,21684,21722,22180,23622,1,8.4,21644,7.733333333,NA,#VALUE!,,184.6166667,03:05
42,D,314471,328374,328669,328927,329187,330182,,4.916666667,328674,5,NA,#VALUE!,,201.7166667,03:22
42,J,239786,249840,250241,250386,250630,251369,,6.683333333,250195,5.916666667,NA,#VALUE!,,137.5666667,02:18
42,M,287598,302402,302894,302946,303283,305037,,8.2,302861,7.65,NA,#VALUE!,,216.7333333,03:37
42,P,335340,347134,347473,347683,347862,348342,,5.65,347473,5.65,NA,#VALUE!,,166.5666667,02:47
42,W,262488,275562,276042,276106,276302,277400,,8,276057,8.25,NA,#VALUE!,,187.9,03:08
43,D,252851,266753,267049,267319,267374,267998,,4.933333333,267128,6.25,NA,#VALUE!,,201.7,03:22
43,J,297746,307863,308329,308406,308912,309458,,7.766666667,308297,7.233333333,308645,13.03333333,,138.6166667,02:19
43,M,223002,237870,238298,238415,238558,239188,,7.133333333,238294,7.066666667,238270,6.666666667,,217.8,03:38
43,P,272464,284320,284662,284876,284922,285426,,5.7,284685,6.083333333,NA,#VALUE!,,167.6,02:48
43,W,190830,203965,204382,204515,204707,205736,,6.95,204379,6.9,NA,#VALUE!,,188.9166667,03:09
44,D,224577,238415,238711,239215,240197,240706,,4.933333333,238767,5.866666667,239028,10.21666667,,200.6333333,03:21
