Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
391,"[286.4891357421875, 141.58233642578125]","[283.4612121582031, 127.21490478515625]","[283.2200012207031, 126.9408950805664]","[238.18067932128906, 117.83910369873047]","[248.41055297851562, 121.53447723388672]","[200.0123291015625, 174.41305541992188]","[211.23806762695312, 199.68585205078125]","[232.76271057128906, 268.3814392089844]","[248.8007049560547, 312.7947082519531]","[301.7261047363281, 276.8254089355469]","[310.887451171875, 286.8187255859375]","[225.1871337890625, 352.71270751953125]","[234.7351837158203, 377.7140197753906]","[386.07769775390625, 302.684326171875]","[398.7151184082031, 328.4356384277344]","[424.2779846191406, 386.8442687988281]","[449.7618713378906, 416.6051330566406]"
392,"[286.3285217285156, 141.62576293945312]","[283.3160705566406, 127.30477142333984]","[283.03375244140625, 126.94828796386719]","[238.18006896972656, 118.04475402832031]","[248.2627716064453, 121.51309967041016]","[200.07431030273438, 174.91476440429688]","[211.30892944335938, 199.61343383789062]","[232.53314208984375, 269.7122497558594]","[248.96800231933594, 313.15478515625]","[300.78759765625, 277.6416320800781]","[309.9959411621094, 287.5722961425781]","[225.39332580566406, 353.4486999511719]","[234.92344665527344, 378.166748046875]","[386.0191955566406, 303.5514221191406]","[398.7592468261719, 328.7396545410156]","[424.67376708984375, 387.5056457519531]","[450.1105041503906, 416.52349853515625]"
393,"[286.7461853027344, 141.08303833007812]","[284.1705017089844, 126.788818359375]","[282.7937316894531, 126.35438537597656]","[240.44334411621094, 117.83855438232422]","[246.6254425048828, 121.05281066894531]","[201.6627655029297, 175.3597869873047]","[210.7495880126953, 199.81878662109375]","[233.5909423828125, 269.7023010253906]","[249.39794921875, 313.19964599609375]","[301.36907958984375, 275.61212158203125]","[310.2380676269531, 286.1470642089844]","[228.29397583007812, 353.2255859375]","[236.1980438232422, 377.97747802734375]","[388.1441650390625, 302.78057861328125]","[399.58355712890625, 328.28424072265625]","[425.5586242675781, 385.7771301269531]","[451.2807312011719, 415.0881042480469]"
394,"[286.6935729980469, 141.2025604248047]","[284.0135803222656, 126.98687744140625]","[282.78790283203125, 126.39910888671875]","[240.10720825195312, 118.30233764648438]","[246.6697235107422, 121.19712829589844]","[201.2003173828125, 175.94009399414062]","[211.2106475830078, 200.37255859375]","[234.77938842773438, 272.2718811035156]","[251.16224670410156, 316.0690612792969]","[303.201171875, 275.6983642578125]","[311.5527038574219, 285.8614501953125]","[227.93568420410156, 355.0514831542969]","[236.33184814453125, 379.87530517578125]","[388.9024963378906, 301.8095703125]","[400.6246032714844, 328.05548095703125]","[424.1788330078125, 387.8462219238281]","[449.7667236328125, 418.5304260253906]"
395,"[285.7470703125, 142.14791870117188]","[282.6786804199219, 127.74532318115234]","[282.0714416503906, 127.50382232666016]","[238.35073852539062, 118.67401885986328]","[247.08541870117188, 122.37874603271484]","[200.67160034179688, 175.85641479492188]","[211.45372009277344, 201.3784942626953]","[234.0904998779297, 271.9591979980469]","[251.13473510742188, 317.2872009277344]","[301.8526916503906, 274.81121826171875]","[311.5445556640625, 285.76715087890625]","[228.1509246826172, 354.1933288574219]","[237.2565460205078, 379.5101623535156]","[389.3379821777344, 301.1679382324219]","[401.7648010253906, 327.75830078125]","[426.075439453125, 386.88079833984375]","[451.5830383300781, 417.93450927734375]"
396,"[283.8507080078125, 142.09800720214844]","[281.3008117675781, 128.30955505371094]","[278.24609375, 127.6296615600586]","[242.82911682128906, 119.79881286621094]","[242.45352172851562, 121.482421875]","[202.3363037109375, 173.02545166015625]","[208.14596557617188, 197.65869140625]","[243.68531799316406, 272.8552551269531]","[251.93202209472656, 323.0157470703125]","[301.6639099121094, 275.71905517578125]","[306.56744384765625, 285.92864990234375]","[229.93588256835938, 355.6806640625]","[234.47657775878906, 382.59698486328125]","[392.7446594238281, 306.8205261230469]","[403.9871520996094, 339.3663330078125]","[421.8695068359375, 387.64959716796875]","[451.8244934082031, 426.1476745605469]"
397,"[283.2040100097656, 143.51373291015625]","[280.31353759765625, 129.52841186523438]","[277.9700927734375, 129.2098846435547]","[240.9719696044922, 120.26390838623047]","[242.98133850097656, 122.7864761352539]","[200.1539306640625, 172.7672119140625]","[208.6051483154297, 198.60301208496094]","[242.75765991210938, 273.109130859375]","[252.18914794921875, 324.2664489746094]","[302.43292236328125, 276.3833312988281]","[307.4823913574219, 285.3531188964844]","[228.194091796875, 356.1241149902344]","[234.46510314941406, 383.88201904296875]","[393.1291809082031, 304.72393798828125]","[405.62469482421875, 339.08953857421875]","[424.72998046875, 384.0619812011719]","[454.6065979003906, 424.9718933105469]"
398,"[283.21307373046875, 143.9586639404297]","[280.3946228027344, 130.06480407714844]","[278.0299072265625, 129.49696350097656]","[240.91864013671875, 120.83007049560547]","[242.9860382080078, 122.82950592041016]","[199.9010467529297, 173.42233276367188]","[208.6299591064453, 198.49154663085938]","[241.77896118164062, 274.875732421875]","[252.35133361816406, 325.02960205078125]","[301.7679748535156, 276.67877197265625]","[307.08807373046875, 284.8782958984375]","[227.69065856933594, 356.8596496582031]","[234.15023803710938, 384.10418701171875]","[392.2059631347656, 305.74530029296875]","[404.72955322265625, 338.9369201660156]","[423.0435791015625, 385.77099609375]","[453.1116027832031, 425.2931213378906]"
399,"[283.85198974609375, 144.21473693847656]","[280.3607482910156, 129.35989379882812]","[280.4571228027344, 129.8544464111328]","[234.57192993164062, 119.43505096435547]","[246.85231018066406, 124.85260009765625]","[195.69264221191406, 176.033203125]","[212.5693359375, 203.28758239746094]","[230.07522583007812, 275.45123291015625]","[254.06434631347656, 321.740966796875]","[300.38067626953125, 277.083984375]","[312.4243469238281, 284.57940673828125]","[220.652587890625, 357.61370849609375]","[233.39932250976562, 383.5236511230469]","[382.01873779296875, 300.23223876953125]","[397.59246826171875, 327.8253479003906]","[423.2601013183594, 384.6090393066406]","[448.78485107421875, 416.38470458984375]"
400,"[284.92767333984375, 144.19354248046875]","[281.19451904296875, 128.95411682128906]","[281.7771301269531, 130.0078887939453]","[233.7826690673828, 118.46292114257812]","[248.65536499023438, 125.26454162597656]","[193.61972045898438, 174.8429412841797]","[213.74795532226562, 203.9219970703125]","[227.44583129882812, 276.2188415527344]","[252.84413146972656, 324.1804504394531]","[300.2401123046875, 279.6217956542969]","[311.9710388183594, 286.3147277832031]","[217.2813720703125, 359.4653625488281]","[232.13168334960938, 386.3042907714844]","[379.3426208496094, 299.8759460449219]","[396.7295227050781, 328.8055419921875]","[424.14990234375, 382.3467712402344]","[449.6367492675781, 414.94073486328125]"
