Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
337,"[325.8619384765625, 131.43055725097656]","[329.45404052734375, 116.059326171875]","[317.1052551269531, 114.14578247070312]","[299.6220703125, 108.55609893798828]","[278.94158935546875, 104.36471557617188]","[269.65740966796875, 161.9343719482422]","[241.41407775878906, 173.70269775390625]","[290.4630432128906, 279.93072509765625]","[268.6416320800781, 316.5697021484375]","[350.1993103027344, 257.30804443359375]","[357.2918701171875, 278.79217529296875]","[283.97772216796875, 320.64459228515625]","[264.9282531738281, 336.4609069824219]","[381.8777160644531, 321.74755859375]","[379.9056701660156, 338.565673828125]","[368.944091796875, 374.2644958496094]","[362.71624755859375, 395.3877258300781]"
338,"[325.846923828125, 131.4827880859375]","[329.4921875, 116.07951354980469]","[317.2076110839844, 114.1304702758789]","[299.2594299316406, 108.49687957763672]","[279.1996765136719, 104.26834106445312]","[269.2070007324219, 161.89683532714844]","[241.3589324951172, 173.73841857910156]","[290.2401123046875, 280.41845703125]","[268.7591857910156, 317.09991455078125]","[350.12091064453125, 256.7418212890625]","[357.44207763671875, 278.18133544921875]","[283.27581787109375, 320.8397521972656]","[264.4809265136719, 336.70709228515625]","[381.6188049316406, 321.6680908203125]","[379.7772521972656, 338.507080078125]","[368.81463623046875, 374.23052978515625]","[362.60845947265625, 395.3480529785156]"
339,"[325.7647399902344, 131.35997009277344]","[329.4761657714844, 115.89684295654297]","[317.1299743652344, 113.91403198242188]","[298.9295959472656, 108.36852264404297]","[279.1356506347656, 104.10414123535156]","[268.7846984863281, 162.08876037597656]","[241.2806396484375, 173.95094299316406]","[289.72503662109375, 281.48187255859375]","[268.79425048828125, 318.1543884277344]","[349.9752502441406, 256.6235046386719]","[357.58319091796875, 278.05499267578125]","[282.98712158203125, 321.5440979003906]","[264.4179382324219, 337.4615478515625]","[382.596435546875, 322.14111328125]","[381.0348815917969, 338.9781494140625]","[369.6638488769531, 375.51593017578125]","[363.51849365234375, 396.5466613769531]"
340,"[325.8360290527344, 131.7348175048828]","[329.6460266113281, 116.10906219482422]","[317.11993408203125, 114.13774871826172]","[298.7926025390625, 108.32002258300781]","[278.9315185546875, 104.17683410644531]","[268.4481201171875, 162.06756591796875]","[241.31993103027344, 174.3467559814453]","[289.9420166015625, 282.11737060546875]","[269.4576416015625, 319.3865661621094]","[349.61785888671875, 256.2356262207031]","[357.33612060546875, 277.8490905761719]","[283.0754089355469, 322.2201843261719]","[264.7779541015625, 338.38641357421875]","[382.8082275390625, 321.1463317871094]","[381.7578430175781, 338.2314453125]","[369.8921813964844, 374.24359130859375]","[364.04144287109375, 395.58984375]"
341,"[325.68310546875, 131.98484802246094]","[329.4885559082031, 116.35778045654297]","[317.0940856933594, 114.30146026611328]","[298.1237487792969, 108.44769287109375]","[278.86090087890625, 104.13379669189453]","[267.67779541015625, 162.0480194091797]","[240.89137268066406, 174.29058837890625]","[289.79608154296875, 282.7566223144531]","[269.6693115234375, 320.0290832519531]","[349.52264404296875, 255.26788330078125]","[357.7218322753906, 276.86419677734375]","[282.0508117675781, 322.8805236816406]","[264.00115966796875, 339.0655517578125]","[382.185546875, 322.294189453125]","[381.7627868652344, 339.39349365234375]","[369.90521240234375, 377.2434997558594]","[364.77679443359375, 398.59930419921875]"
342,"[325.7243957519531, 132.03297424316406]","[329.56988525390625, 116.42683410644531]","[317.0953674316406, 114.33843231201172]","[298.314697265625, 108.51985931396484]","[278.7646179199219, 104.1083755493164]","[267.81317138671875, 162.10400390625]","[240.81509399414062, 174.2335662841797]","[289.9494934082031, 282.6067810058594]","[269.67608642578125, 319.7719421386719]","[349.594482421875, 255.38888549804688]","[357.96453857421875, 276.9946594238281]","[282.3355407714844, 323.5175476074219]","[264.1108093261719, 339.6591796875]","[382.4881896972656, 323.782470703125]","[381.946044921875, 340.82916259765625]","[370.1536865234375, 379.2990417480469]","[364.8393859863281, 400.58770751953125]"
343,"[325.97039794921875, 131.64999389648438]","[329.7831115722656, 116.10633087158203]","[317.174072265625, 114.04019927978516]","[298.9295349121094, 108.71324157714844]","[278.5216369628906, 104.29676818847656]","[268.4398498535156, 162.8134002685547]","[240.95143127441406, 174.73480224609375]","[290.2581787109375, 282.79437255859375]","[269.7138977050781, 319.6553649902344]","[349.8311767578125, 256.25238037109375]","[358.1282958984375, 277.75103759765625]","[283.058837890625, 323.6849670410156]","[264.47137451171875, 339.68438720703125]","[382.6732177734375, 324.1809997558594]","[381.8263244628906, 341.1131286621094]","[370.3067626953125, 379.42852783203125]","[364.7607727050781, 400.62030029296875]"
344,"[326.29705810546875, 131.25340270996094]","[330.1509704589844, 115.74437713623047]","[317.5495910644531, 113.58662414550781]","[299.264892578125, 108.51492309570312]","[278.8774108886719, 103.85758972167969]","[268.66888427734375, 162.9550018310547]","[240.94015502929688, 174.40191650390625]","[290.1514892578125, 283.6808776855469]","[269.41351318359375, 319.81903076171875]","[349.41925048828125, 256.4260559082031]","[357.7174072265625, 277.6916809082031]","[281.8770446777344, 324.4115295410156]","[263.1526794433594, 340.1067810058594]","[381.0996398925781, 324.2785949707031]","[380.3359069824219, 340.9263610839844]","[368.4122619628906, 380.3699645996094]","[363.1747741699219, 401.214111328125]"
345,"[326.2019348144531, 131.32778930664062]","[330.0720520019531, 115.79827880859375]","[317.3114318847656, 113.67315673828125]","[299.4132080078125, 108.64929962158203]","[278.5946044921875, 104.050048828125]","[268.66571044921875, 163.2158203125]","[241.11769104003906, 174.54598999023438]","[289.83837890625, 283.9041442871094]","[269.1811828613281, 319.8574523925781]","[349.5563049316406, 256.9477844238281]","[357.3929748535156, 278.1627502441406]","[281.56072998046875, 324.6947021484375]","[262.9846496582031, 340.2563171386719]","[380.21759033203125, 324.61383056640625]","[379.7470397949219, 341.1336669921875]","[366.6667175292969, 380.7679443359375]","[361.7608642578125, 401.4825744628906]"
346,"[326.3221740722656, 131.2234649658203]","[330.1336975097656, 115.6050796508789]","[317.2993469238281, 113.56584167480469]","[299.45703125, 108.42304992675781]","[278.37017822265625, 104.05638885498047]","[269.00018310546875, 163.20526123046875]","[241.08079528808594, 174.8798370361328]","[290.3267517089844, 284.3132629394531]","[269.4036560058594, 320.7298278808594]","[349.6405334472656, 256.94500732421875]","[357.40478515625, 278.1168212890625]","[282.27093505859375, 325.3260498046875]","[263.4711608886719, 341.0526428222656]","[380.7099609375, 326.12091064453125]","[380.1858215332031, 342.8298034667969]","[367.03411865234375, 383.2394714355469]","[362.1359558105469, 404.22265625]"
