Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
211,"[255.0364532470703, 95.69984436035156]","[260.2713623046875, 80.6656494140625]","[236.21058654785156, 82.45280456542969]","[257.2286682128906, 86.3437728881836]","[198.65594482421875, 94.39717102050781]","[245.75738525390625, 162.32293701171875]","[177.75343322753906, 184.48123168945312]","[270.661376953125, 260.4253234863281]","[201.42466735839844, 314.9062805175781]","[321.6300964355469, 293.0482177734375]","[315.8302307128906, 318.2875061035156]","[268.71002197265625, 335.593505859375]","[224.05572509765625, 360.485595703125]","[422.3468933105469, 313.126708984375]","[395.7165832519531, 341.6156311035156]","[381.5092468261719, 389.4142761230469]","[399.8843078613281, 412.9432067871094]"
212,"[254.35031127929688, 95.22058868408203]","[260.06634521484375, 80.21688079833984]","[235.2849884033203, 81.92484283447266]","[258.3355407714844, 85.87543487548828]","[197.77908325195312, 93.6427001953125]","[246.7671356201172, 161.4429931640625]","[177.65689086914062, 183.3294677734375]","[271.5987548828125, 259.99420166015625]","[201.01661682128906, 314.61456298828125]","[321.6917724609375, 291.96246337890625]","[314.16534423828125, 318.5973205566406]","[269.51019287109375, 334.5306091308594]","[223.87477111816406, 359.290771484375]","[422.1966552734375, 313.965087890625]","[394.6868591308594, 342.6642150878906]","[380.460205078125, 386.9847106933594]","[398.8779602050781, 411.0442199707031]"
213,"[254.955322265625, 95.19438171386719]","[260.53619384765625, 80.22565460205078]","[235.9489288330078, 81.80342102050781]","[258.13665771484375, 86.18211364746094]","[198.07786560058594, 93.73068237304688]","[246.21475219726562, 162.42063903808594]","[177.6749725341797, 184.0897674560547]","[271.7336730957031, 261.47088623046875]","[200.886474609375, 315.53533935546875]","[323.0065612792969, 292.7109069824219]","[314.843994140625, 318.8094482421875]","[269.943603515625, 335.9593505859375]","[224.72767639160156, 360.8341369628906]","[423.909423828125, 314.5562438964844]","[396.5116271972656, 343.5894470214844]","[382.2029724121094, 386.76873779296875]","[400.3658142089844, 411.22979736328125]"
214,"[255.63546752929688, 94.58908081054688]","[260.9095458984375, 79.72657012939453]","[236.4772491455078, 81.41395568847656]","[258.243896484375, 86.02690887451172]","[198.32070922851562, 93.87357330322266]","[246.8946075439453, 162.43711853027344]","[177.85757446289062, 183.9600372314453]","[272.251220703125, 261.8139343261719]","[200.76722717285156, 315.3168640136719]","[323.0621643066406, 293.21844482421875]","[314.8067321777344, 318.6158752441406]","[270.3576354980469, 335.8348388671875]","[224.85264587402344, 360.4988708496094]","[423.4259948730469, 314.3014831542969]","[396.25244140625, 342.7145690917969]","[380.9544677734375, 387.21258544921875]","[399.1689147949219, 410.3469543457031]"
215,"[255.81280517578125, 94.68342590332031]","[260.9623718261719, 79.73943328857422]","[236.69821166992188, 81.53414916992188]","[257.9021911621094, 85.89484405517578]","[198.43707275390625, 94.00005340576172]","[246.5013427734375, 162.2981414794922]","[178.30645751953125, 184.32015991210938]","[272.00238037109375, 261.5375061035156]","[201.0150604248047, 315.46044921875]","[323.3702392578125, 293.55755615234375]","[314.943115234375, 318.8070983886719]","[271.2756042480469, 336.23345947265625]","[226.35177612304688, 361.1666259765625]","[423.2869567871094, 314.654296875]","[396.5853271484375, 343.5408630371094]","[381.9063720703125, 387.6302490234375]","[400.0119323730469, 411.03533935546875]"
216,"[255.94383239746094, 94.95913696289062]","[261.1131896972656, 80.12661743164062]","[237.00164794921875, 81.65426635742188]","[257.4977722167969, 86.34807586669922]","[198.4254150390625, 93.91924285888672]","[245.40435791015625, 162.83351135253906]","[178.0321502685547, 184.37953186035156]","[270.67132568359375, 262.0736083984375]","[201.47659301757812, 315.40093994140625]","[322.9496154785156, 294.18048095703125]","[314.6845397949219, 319.0769958496094]","[270.1512451171875, 336.37933349609375]","[225.7649383544922, 361.00103759765625]","[422.8473205566406, 315.6121520996094]","[396.1912841796875, 343.65765380859375]","[381.4860534667969, 388.79583740234375]","[399.58868408203125, 411.422607421875]"
217,"[255.72763061523438, 94.99628448486328]","[260.93572998046875, 80.22933197021484]","[236.8629608154297, 81.6761474609375]","[257.2660827636719, 86.55567932128906]","[198.33184814453125, 93.93550872802734]","[245.12857055664062, 162.9971160888672]","[178.0729217529297, 184.47149658203125]","[270.635498046875, 262.11279296875]","[201.66526794433594, 315.3957214355469]","[323.092529296875, 294.1352233886719]","[314.6832275390625, 318.9500427246094]","[270.2934875488281, 336.5628356933594]","[226.06942749023438, 361.1537170410156]","[422.7089538574219, 315.5154724121094]","[395.9438171386719, 343.6748046875]","[381.22320556640625, 388.679931640625]","[399.2239685058594, 411.63775634765625]"
218,"[255.4412078857422, 95.04352569580078]","[260.6161804199219, 80.2032699584961]","[236.48712158203125, 81.74361419677734]","[257.10498046875, 86.45317840576172]","[198.10707092285156, 94.08007049560547]","[245.30712890625, 163.11026000976562]","[178.07017517089844, 184.6687774658203]","[270.6552734375, 262.3854675292969]","[201.6610565185547, 315.62396240234375]","[323.3334045410156, 294.5029296875]","[314.7721862792969, 319.24005126953125]","[270.62457275390625, 336.7359924316406]","[226.3544921875, 361.35711669921875]","[423.399169921875, 315.5592956542969]","[396.7934265136719, 343.4770202636719]","[382.10784912109375, 389.0598449707031]","[400.137451171875, 411.5327453613281]"
219,"[255.43896484375, 95.1207275390625]","[260.774658203125, 80.344970703125]","[236.48611450195312, 81.76226806640625]","[257.57720947265625, 86.58256530761719]","[198.0742950439453, 93.88316345214844]","[245.5133056640625, 162.9920654296875]","[177.8883514404297, 184.16397094726562]","[270.7994689941406, 262.19305419921875]","[201.72903442382812, 315.1220397949219]","[322.9615478515625, 293.9635314941406]","[314.6379089355469, 319.1402282714844]","[270.1996765136719, 336.18212890625]","[225.6375274658203, 360.6529846191406]","[423.5549011230469, 315.1318664550781]","[396.70550537109375, 342.9782409667969]","[381.85992431640625, 389.0186462402344]","[400.1036682128906, 411.777099609375]"
220,"[255.60865783691406, 95.21183013916016]","[260.90283203125, 80.3383560180664]","[236.62478637695312, 81.79300689697266]","[257.4044494628906, 86.40482330322266]","[198.0088348388672, 93.86915588378906]","[244.64154052734375, 162.85342407226562]","[177.86473083496094, 184.24673461914062]","[270.0157775878906, 262.00482177734375]","[201.85121154785156, 315.28546142578125]","[322.9125671386719, 293.64971923828125]","[314.8748474121094, 319.1675720214844]","[268.7699279785156, 336.2549133300781]","[224.71348571777344, 360.8725891113281]","[423.3572692871094, 315.24749755859375]","[397.0329895019531, 343.37176513671875]","[381.5646057128906, 388.38555908203125]","[399.9245300292969, 411.46453857421875]"
