Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
875,"[436.14178466796875, 109.28187561035156]","[440.60333251953125, 94.60939025878906]","[424.4231262207031, 94.03175354003906]","[424.7225646972656, 88.19451141357422]","[384.32366943359375, 88.50963592529297]","[408.88458251953125, 147.88108825683594]","[342.3533020019531, 167.062255859375]","[435.1786193847656, 251.28460693359375]","[381.1516418457031, 292.78179931640625]","[482.2294921875, 189.72222900390625]","[446.3572998046875, 192.63555908203125]","[449.0336608886719, 316.1393737792969]","[409.4195556640625, 340.861572265625]","[615.4772338867188, 304.6817626953125]","[593.8609619140625, 319.585205078125]","[653.34814453125, 422.00152587890625]","[686.2290649414062, 438.7622985839844]"
876,"[436.143310546875, 106.88442993164062]","[440.6717834472656, 92.0760498046875]","[423.8302001953125, 91.91521453857422]","[425.6545715332031, 86.80620574951172]","[383.26300048828125, 88.04502868652344]","[410.5180969238281, 147.1245880126953]","[342.2086486816406, 167.8202362060547]","[437.82513427734375, 248.03334045410156]","[380.7537536621094, 292.6250915527344]","[484.7974548339844, 188.4946746826172]","[446.4444580078125, 193.97828674316406]","[451.431640625, 315.01788330078125]","[410.6179504394531, 340.398193359375]","[616.8242797851562, 304.4535217285156]","[594.3797607421875, 320.22564697265625]","[653.679931640625, 421.73492431640625]","[686.2392578125, 438.4801025390625]"
877,"[434.340087890625, 106.3494644165039]","[439.4028015136719, 91.17972564697266]","[421.552001953125, 91.30685424804688]","[425.81524658203125, 85.02845764160156]","[381.40020751953125, 86.9985580444336]","[410.1781311035156, 144.56942749023438]","[342.9809875488281, 166.3114471435547]","[435.765380859375, 246.00430297851562]","[381.333251953125, 292.15911865234375]","[483.68939208984375, 188.3098907470703]","[446.47259521484375, 194.6212921142578]","[452.9718017578125, 313.03839111328125]","[412.5322570800781, 339.0049743652344]","[618.1154174804688, 302.4393615722656]","[595.4442138671875, 319.7375183105469]","[653.9359130859375, 421.2293701171875]","[685.9989624023438, 440.12969970703125]"
878,"[433.50604248046875, 105.63980102539062]","[438.6360168457031, 90.36421966552734]","[420.6925354003906, 90.61720275878906]","[425.08538818359375, 83.39339447021484]","[380.92388916015625, 85.78951263427734]","[409.0220947265625, 141.83665466308594]","[343.3449401855469, 163.97398376464844]","[434.2057800292969, 244.1233673095703]","[382.06915283203125, 290.880615234375]","[484.7821960449219, 186.19012451171875]","[449.83831787109375, 193.5409393310547]","[452.4062805175781, 311.3757019042969]","[412.6921081542969, 337.6814880371094]","[618.7342529296875, 301.1034240722656]","[596.4116821289062, 319.20733642578125]","[654.15087890625, 421.2637939453125]","[686.04296875, 441.3175964355469]"
879,"[432.9613952636719, 104.11469268798828]","[437.8276062011719, 88.80286407470703]","[419.9222106933594, 89.47180938720703]","[424.584716796875, 82.76300811767578]","[380.5419616699219, 86.11267852783203]","[409.74957275390625, 142.1308135986328]","[343.62176513671875, 164.7071990966797]","[435.0997009277344, 243.2941131591797]","[381.4049377441406, 290.1214904785156]","[484.1184997558594, 185.8578643798828]","[447.237060546875, 193.68251037597656]","[452.73907470703125, 311.26165771484375]","[412.7576599121094, 337.5586853027344]","[618.2230224609375, 302.1684265136719]","[596.4714965820312, 319.91314697265625]","[654.2135620117188, 421.63232421875]","[685.673828125, 440.5639343261719]"
880,"[432.98175048828125, 105.72928619384766]","[436.7466735839844, 90.78714752197266]","[421.09326171875, 90.78936767578125]","[419.86444091796875, 83.1137466430664]","[381.37139892578125, 85.27429962158203]","[404.9652099609375, 140.50218200683594]","[342.9085998535156, 162.38291931152344]","[431.8852233886719, 244.19920349121094]","[383.1076354980469, 289.82659912109375]","[484.3011779785156, 185.902587890625]","[450.42144775390625, 191.74942016601562]","[450.9913330078125, 312.0544738769531]","[413.730224609375, 337.9732666015625]","[617.905517578125, 301.9605407714844]","[597.3148193359375, 318.2972106933594]","[653.4977416992188, 422.7523498535156]","[685.6328735351562, 440.3725891113281]"
881,"[432.3103942871094, 105.13796997070312]","[436.2218933105469, 90.14440155029297]","[420.24627685546875, 90.31665802001953]","[419.82989501953125, 82.60261535644531]","[380.47137451171875, 85.08124542236328]","[405.0476989746094, 139.74783325195312]","[342.4837951660156, 162.2538299560547]","[432.4418640136719, 242.27542114257812]","[383.3865051269531, 289.2002868652344]","[484.91326904296875, 184.9094696044922]","[451.01251220703125, 191.68441772460938]","[451.26629638671875, 311.0976867675781]","[413.6095275878906, 337.2744445800781]","[617.508544921875, 302.09228515625]","[596.6351318359375, 318.6883850097656]","[654.0159301757812, 422.3769836425781]","[686.2490844726562, 439.9563903808594]"
882,"[431.82916259765625, 105.98108673095703]","[435.6905822753906, 91.05818939208984]","[419.9726257324219, 90.94615936279297]","[418.77117919921875, 82.88758850097656]","[379.963623046875, 84.79348754882812]","[403.6240539550781, 139.2231903076172]","[342.2254333496094, 161.7045135498047]","[431.3243408203125, 242.02294921875]","[383.99688720703125, 289.4215393066406]","[484.1462707519531, 185.7073974609375]","[450.5679931640625, 192.94921875]","[451.26116943359375, 311.1696472167969]","[414.33978271484375, 337.3119812011719]","[617.7152099609375, 301.8921203613281]","[596.8652954101562, 318.4259033203125]","[653.4791259765625, 422.6986083984375]","[685.95263671875, 440.60699462890625]"
883,"[431.9440002441406, 105.72526550292969]","[435.631103515625, 90.8862533569336]","[420.1786193847656, 90.68277740478516]","[418.35516357421875, 83.15155792236328]","[379.8687744140625, 84.78849792480469]","[403.48260498046875, 140.0611572265625]","[342.4427490234375, 162.65835571289062]","[432.5241394042969, 241.40890502929688]","[384.7091979980469, 288.9690856933594]","[484.581298828125, 185.6685791015625]","[450.07342529296875, 192.95741271972656]","[452.8846435546875, 311.9415283203125]","[416.3348083496094, 338.1895751953125]","[618.2347412109375, 301.1062316894531]","[597.537841796875, 318.23602294921875]","[653.9384765625, 421.61126708984375]","[686.36865234375, 440.4437255859375]"
884,"[431.6671142578125, 105.76641082763672]","[434.846923828125, 91.01653289794922]","[420.4175109863281, 90.74565124511719]","[416.52093505859375, 82.71595001220703]","[380.6517333984375, 84.3042984008789]","[402.71978759765625, 138.55184936523438]","[342.34674072265625, 162.1555938720703]","[432.680419921875, 238.9396514892578]","[384.35552978515625, 289.0525817871094]","[484.0256042480469, 185.97052001953125]","[449.46588134765625, 194.62326049804688]","[453.0707702636719, 311.47491455078125]","[417.1110534667969, 337.9975280761719]","[618.3761596679688, 301.0448303222656]","[597.665771484375, 318.1430358886719]","[652.8880615234375, 422.1292419433594]","[685.4762573242188, 440.7483215332031]"
