Frame,Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
45,"[400.2879638671875, 145.17498779296875]","[403.5630187988281, 130.81649780273438]","[386.67218017578125, 129.42779541015625]","[385.0474548339844, 124.3653335571289]","[344.3325500488281, 126.83903503417969]","[355.9281311035156, 184.93885803222656]","[327.9835510253906, 202.26406860351562]","[373.15869140625, 288.123046875]","[361.9742736816406, 322.343994140625]","[447.2439880371094, 256.7516174316406]","[426.8989562988281, 258.2848205566406]","[402.0032043457031, 344.6609802246094]","[384.275146484375, 366.3781433105469]","[561.2916259765625, 329.2287902832031]","[552.2190551757812, 349.0345764160156]","[545.1691284179688, 478.5474548339844]","[566.7250366210938, 502.9683837890625]"
46,"[400.65472412109375, 145.36204528808594]","[403.8853759765625, 130.88426208496094]","[386.88494873046875, 129.73194885253906]","[385.7926025390625, 124.4688720703125]","[344.600830078125, 127.40323638916016]","[357.19024658203125, 185.1511688232422]","[328.01605224609375, 202.90846252441406]","[374.471923828125, 286.4936828613281]","[361.1716003417969, 321.3505554199219]","[447.6522521972656, 256.3058776855469]","[426.35791015625, 257.8487548828125]","[402.5809020996094, 344.380859375]","[384.1393737792969, 366.2851867675781]","[561.0449829101562, 329.1698913574219]","[551.5146484375, 349.386962890625]","[545.055419921875, 477.95556640625]","[565.932861328125, 502.59246826171875]"
47,"[401.2032165527344, 145.76925659179688]","[404.341552734375, 131.29261779785156]","[387.5520935058594, 130.14358520507812]","[385.60089111328125, 124.74642181396484]","[345.09625244140625, 127.73907470703125]","[356.41375732421875, 185.2159881591797]","[328.30731201171875, 203.1555633544922]","[373.79241943359375, 286.49139404296875]","[361.1669616699219, 321.3254089355469]","[448.22216796875, 255.77952575683594]","[427.06512451171875, 257.2667541503906]","[402.1257019042969, 345.3478088378906]","[384.3492126464844, 367.4634704589844]","[561.074462890625, 329.04248046875]","[551.896240234375, 349.9042053222656]","[545.3278198242188, 477.0184326171875]","[566.247314453125, 502.53900146484375]"
48,"[400.9017333984375, 145.8043212890625]","[403.9366455078125, 131.3144989013672]","[387.09503173828125, 130.3099365234375]","[385.48699951171875, 124.94477081298828]","[344.6546630859375, 128.2429656982422]","[356.84344482421875, 185.4379119873047]","[328.0989074707031, 203.2781524658203]","[374.9306335449219, 285.6561584472656]","[361.4535217285156, 319.92169189453125]","[449.6844177246094, 255.2940216064453]","[428.2630310058594, 255.75779724121094]","[402.2301025390625, 345.45379638671875]","[384.012451171875, 367.5426025390625]","[561.4869995117188, 328.97113037109375]","[552.17138671875, 349.74420166015625]","[545.6409301757812, 476.9315185546875]","[566.1890258789062, 502.0467224121094]"
49,"[400.9845886230469, 145.8941192626953]","[403.901123046875, 131.33029174804688]","[387.195556640625, 130.5135040283203]","[385.29437255859375, 124.59770965576172]","[345.2139892578125, 128.42079162597656]","[356.75958251953125, 184.64566040039062]","[328.88946533203125, 203.01942443847656]","[374.5060729980469, 284.3313903808594]","[361.3956298828125, 319.6883544921875]","[449.9624938964844, 253.8017578125]","[428.6378173828125, 256.6068115234375]","[401.8597717285156, 345.528076171875]","[384.2054748535156, 367.8303527832031]","[561.4324951171875, 328.8435974121094]","[552.7657470703125, 349.940673828125]","[545.4352416992188, 476.2872009277344]","[565.910400390625, 501.6675109863281]"
50,"[401.34393310546875, 145.97500610351562]","[404.2537536621094, 131.31875610351562]","[387.51922607421875, 130.63296508789062]","[385.3977355957031, 124.33452606201172]","[345.6797180175781, 128.55331420898438]","[356.2210388183594, 184.34437561035156]","[329.873291015625, 202.7529296875]","[372.9601745605469, 284.1820983886719]","[361.59246826171875, 319.083251953125]","[449.50506591796875, 253.44937133789062]","[428.74932861328125, 257.0928955078125]","[401.1876525878906, 345.6456604003906]","[384.45263671875, 368.00408935546875]","[561.03466796875, 328.4435119628906]","[553.1600952148438, 349.82464599609375]","[545.4946899414062, 475.2939147949219]","[565.7703247070312, 501.1334228515625]"
51,"[401.2303161621094, 146.11074829101562]","[404.31646728515625, 131.36692810058594]","[387.1451110839844, 130.7777099609375]","[386.438232421875, 124.3326644897461]","[345.283447265625, 128.66490173339844]","[357.9692687988281, 184.14161682128906]","[329.3891906738281, 202.9735565185547]","[375.8216857910156, 282.5084533691406]","[361.3605651855469, 318.472412109375]","[452.28350830078125, 253.0579071044922]","[428.8984680175781, 255.74136352539062]","[402.5318298339844, 345.4493408203125]","[384.44146728515625, 368.03759765625]","[562.0025024414062, 328.2849426269531]","[553.160888671875, 349.9554443359375]","[545.9375610351562, 475.43829345703125]","[566.2465209960938, 501.3278503417969]"
52,"[401.2724609375, 145.5010528564453]","[404.51287841796875, 130.90757751464844]","[387.2207336425781, 129.9921417236328]","[386.76416015625, 124.34568786621094]","[344.84832763671875, 127.83284759521484]","[358.3969421386719, 184.5262451171875]","[328.43682861328125, 202.88531494140625]","[376.6644287109375, 284.0626220703125]","[361.19805908203125, 319.798095703125]","[452.17706298828125, 253.47225952148438]","[428.34149169921875, 254.9974822998047]","[403.6838684082031, 345.649658203125]","[384.6973876953125, 368.0048522949219]","[562.2599487304688, 328.807373046875]","[552.533203125, 349.959228515625]","[545.5810546875, 476.47119140625]","[566.4270629882812, 501.7669372558594]"
53,"[401.5704650878906, 146.03372192382812]","[404.4720458984375, 131.75393676757812]","[388.2429504394531, 130.33213806152344]","[384.934326171875, 125.00668334960938]","[345.5589904785156, 127.3747787475586]","[356.4277648925781, 184.8135223388672]","[327.64727783203125, 202.7318115234375]","[375.778564453125, 285.6739196777344]","[360.88525390625, 321.25860595703125]","[451.86138916015625, 254.4818115234375]","[428.5866394042969, 255.77000427246094]","[403.1073303222656, 346.2166442871094]","[385.06231689453125, 368.2825012207031]","[561.0664672851562, 329.490966796875]","[551.5487670898438, 349.8486633300781]","[544.595947265625, 477.5319519042969]","[566.3305053710938, 502.0572509765625]"
54,"[402.0461730957031, 145.72003173828125]","[404.5708312988281, 131.4172821044922]","[389.01763916015625, 130.0304412841797]","[383.6620788574219, 124.43653869628906]","[346.20135498046875, 127.00473022460938]","[354.4455261230469, 184.24534606933594]","[327.7045593261719, 202.28970336914062]","[373.7550964355469, 284.9641418457031]","[360.12030029296875, 320.6856384277344]","[450.2935485839844, 253.8123321533203]","[427.4929504394531, 257.4267883300781]","[400.75286865234375, 345.8404846191406]","[384.0989074707031, 367.9563903808594]","[559.998291015625, 328.67694091796875]","[551.4483642578125, 349.09844970703125]","[544.7489013671875, 476.5400390625]","[565.9644165039062, 501.1712341308594]"
